#Species (or morphospecies –> Gen sp) collected in 15 winter Oilseed rape sites (edge and middle of the crop -> Treatment) along a 50 m. - 15 minutes transect walk. Each site visited two times (Date). Owner: Ignasi Bartoemus <nacho.bartomeus@gmail.com>
Field	Treatment	Date	Collector	Order	Family	Subfamily	Gen	sp	Sex	Identification
site_14	edge	2013,06,02	O.R.Rubbmark	Coleoptera	Elateridae	NA	Corymbites	sp1	NA	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	scripta	male	Karol
site_11	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Sphaerophoria	virgata	female	Karol
site_12	crop	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	manicatus	female	Karol
site_8	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	manicatus	male	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	immarginatus	male	Karol
site_11	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	immarginatus	male	Karol
site_12	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	immarginatus	male	Karol
site_5	crop	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	immarginatus	female	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Epistrophe	grossulariae	female	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	NA	Epistrophe	grossulariae	male	Karol
site_6	crop	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Epistrophe	grossulariae	male	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Epistrophe	flava	female	Karol
site_7	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Epistrophe	nitidicollis	famale	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Epistrophe	nitidicollis	male	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Megasyrphus	erraticus	male	Karol
site_5	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	jaerensis	male	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	female	Karol
site_8	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	female	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	female	Karol
site_2	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	female	Karol
site_6	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	female	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	male	Karol
site_11	crop	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	male	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	male	Karol
site_2	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	peltatus	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	albimanus	female	Karol
site_3	crop	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	albimanus	male	Karol
site_3	crop	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	albimanus	male	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	scalare	female	Karol
site_8	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	scalare	male	Karol
site_8	crop	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	female	Karol
site_13	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	female	Karol
site_11	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	female	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	female	Karol
site_10	crop	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	female	Karol
site_10	crop	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	female	Karol
site_2	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	male	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Melanostoma	mellinum	male	Karol
site_2	edge	2013,06,01	O.R.Rubbmark	Diptera	Syrphidae	NA	Parasyrphus	annulatus	female	Karol
site_8	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Eupeodes	lundbecki	female	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Eupeodes	lundbecki	female	Karol
site_12	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	NA	Eupeodes	lundbecki	female	Karol
site_15	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	Scambus	female	Karol
site_7	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	Scambus	female	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	Scambus	female	Karol
site_15	crop	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	Scambus	female	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	Scambus	male	Karol
site_11	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	europaeus	male	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	NA	Platycheirus	europaeus	male	Karol
site_4	crop	2013,05,28	O.R.Rubbmark	Diptera	Rhagionidae	NA	Rhagionidae	sp1	NA	Karol
site_4	edge	2013,06,01	O.R.Rubbmark	Diptera	Rhagionidae	NA	Rhagionidae	sp1	NA	Karol
site_2	crop	2013,06,01	O.R.Rubbmark	Diptera	Stratiomydae	NA	Stratiomydae	sp1	NA	Karol
site_14	crop	2013,06,02	O.R.Rubbmark	Diptera	Sarcophagidae	NA	Sarcophagidae	sp1	NA	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Diptera	Sarcophagidae	NA	Sarcophagidae	sp1	NA	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Diptera	Tachinidae	NA	Tachinidae	sp1	NA	Karol
site_15	edge	2013,06,02	O.R.Rubbmark	Diptera	Tachinidae	NA	Tachinidae	sp2	NA	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp1	NA	Karol
site_5	crop	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp2	NA	Karol
site_5	crop	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp2	NA	Karol
site_13	crop	2013,06,03	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp2	NA	Karol
site_5	crop	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp2	NA	Karol
site_5	crop	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp3	NA	Karol
site_13	crop	2013,06,03	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp3	NA	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp3	NA	Karol
site_13	edge	2013,06,03	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp3	NA	Karol
site_13	crop	2013,05,31	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp3	NA	Karol
site_3	crop	2013,05,27	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp4	NA	Karol
site_10	crop	2013,06,03	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp4	NA	Karol
site_3	crop	2013,05,27	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_3	crop	2013,06,01	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_5	crop	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_4	crop	2013,06,01	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_9	crop	2013,06,03	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_6	crop	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_1	edge	2013,05,27	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_4	crop	2013,05,28	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Anthomyiidae	NA	Anthomyiidae	sp5	NA	Karol
site_8	crop	2013,05,30	O.R.Rubbmark	Diptera	Scathophagidae	NA	Scathophaga	sp1	NA	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Diptera	Scathophagidae	NA	Scathophaga	sp1	NA	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Scathophagidae	NA	Scathophaga	sp1	NA	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Diptera	Scathophagidae	NA	Scathophaga	sp2	NA	Karol
site_13	edge	2013,05,31	O.R.Rubbmark	Diptera	Scathophagidae	NA	Scathophaga	sp3	NA	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Diptera	Scathophagidae	NA	Scathophaga	sp3	NA	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Calliphoridae	NA	Calliphoridae	sp1	NA	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Calliphoridae	NA	Calliphoridae	sp1	NA	Karol
site_11	edge	2013,06,02	O.R.Rubbmark	Diptera	Calliphoridae	NA	Calliphoridae	sp1	NA	Karol
site_6	edge	2013,05,30	O.R.Rubbmark	Diptera	Calliphoridae	NA	Calliphoridae	sp2	NA	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Diptera	Dolichopodidae	NA	Dolichopodidae	sp1	NA	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Agromyzidae	NA	Agromyzidae	sp1	NA	Karol
site_6	edge	2013,05,30	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp1	NA	Karol
site_7	crop	2013,05,30	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp1	NA	Karol
site_3	crop	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp1	NA	Karol
site_8	edge	2013,05,30	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp1	NA	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp1	NA	Karol
site_3	crop	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp2	NA	Karol
site_10	edge	2013,05,31	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp2	NA	Karol
site_13	edge	2013,05,31	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp2	NA	Karol
site_2	edge	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp3	NA	Karol
site_4	edge	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp3	NA	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp3	NA	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp3	NA	Karol
site_4	edge	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp3	NA	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp4	NA	Karol
site_2	crop	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp5	NA	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp5	NA	Karol
site_13	edge	2013,06,03	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp6	NA	Karol
site_5	edge	2013,05,30	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp6	NA	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp7	NA	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp8	NA	Karol
site_8	edge	2013,06,04	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp8	NA	Karol
site_11	crop	2013,05,28	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp8	NA	Karol
site_13	edge	2013,05,31	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp8	NA	Karol
site_10	edge	2013,06,03	O.R.Rubbmark	Diptera	Muscidae	NA	Muscidae	sp8	NA	Karol
site_2	crop	2013,06,01	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_7	crop	2013,05,30	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_3	crop	2013,05,27	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_4	crop	2013,06,01	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_3	edge	2013,06,01	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_9	crop	2013,05,31	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	female	Karol
site_2	crop	2013,05,27	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_3	crop	2013,05,27	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_4	crop	2013,05,28	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_3	edge	2013,05,27	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_4	crop	2013,06,01	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_4	crop	2013,06,01	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_2	edge	2013,05,27	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_9	edge	2013,06,03	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Diptera	Empididae	NA	Empididae	sp1	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	female	Karol
site_8	crop	2013,05,30	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	female	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	female	Karol
site_15	edge	2013,06,02	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	female	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_4	crop	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_4	crop	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_13	edge	2013,05,31	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_1	edge	2013,06,02	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_15	crop	2013,06,02	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_2	edge	2013,06,01	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_9	crop	2013,05,31	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_9	crop	2013,05,31	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_2	crop	2013,06,01	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_4	crop	2013,05,28	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_10	crop	2013,06,03	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_9	edge	2013,06,03	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_9	edge	2013,06,03	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_15	edge	2013,06,02	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_10	crop	2013,05,31	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_10	crop	2013,05,31	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_9	edge	2013,05,31	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_9	crop	2013,06,03	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp1	male	Karol
site_10	edge	2013,06,03	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp2	male	Karol
site_9	crop	2013,06,03	O.R.Rubbmark	Diptera	Bibionidae	NA	Bibionidae	sp3	male	Karol
site_6	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_6	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_6	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_14	crop	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_14	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	male	Karol
site_6	crop	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	female	Karol
site_7	edge	2013,05,30	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	female	Karol
site_6	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	female	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	interrupta	female	Karol
site_12	edge	2013,05,31	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	abusiva	male	Karol
site_14	edge	2013,06,02	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	lineata	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	lineata	male	Karol
site_7	edge	2013,06,04	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	lineata	male	Karol
site_4	edge	2013,05,28	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalis	pertinax	female	Karol
site_12	edge	2013,06,03	O.R.Rubbmark	Diptera	Syrphidae	Eristalinae	Eristalinus	sepulchralis	female	Karol
