code,file_field,file_insect,Credit,author_folder
47_RachaelWinfreeTomato_2005,field_level_data_47_RachaelWinfreeTomato_2005.csv,insect_sampling_47_RachaelWinfreeTomato_2005.csv,Rachael Winfree et al.,Rachael Winfree
48_RachaelWinfreeCranberry_2009,field_level_data_48_RachaelWinfreeCranberry_2009.csv,insect_sampling_48_RachaelWinfreeCranberry_2009.csv,Rachael Winfree et al.,Rachael Winfree
49_RachaelWinfreeCranberry_2010,field_level_data_49_RachaelWinfreeCranberry_2010.csv,insect_sampling_49_RachaelWinfreeCranberry_2010.csv,Rachael Winfree et al.,Rachael Winfree
50_RachaelWinfreeMuskMelon_2004,field_level_data_50_RachaelWinfreeMuskMelon_2004.csv,insect_sampling_50_RachaelWinfreeMuskMelon_2004.csv,Rachael Winfree et al.,Rachael Winfree
51_RachaelWinfreeBlueBerry_2010,field_level_data_51_RachaelWinfreeBlueBerry_2010.csv,insect_sampling_51_RachaelWinfreeBlueBerry_2010.csv,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",Rachael Winfree
52_RachaelWinfreeBlueBerry_2011,field_level_data_52_RachaelWinfreeBlueBerry_2011.csv,insect_sampling_52_RachaelWinfreeBlueBerry_2011.csv,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",Rachael Winfree
58_MacKenzie_AverillExtractedFromPaper,field_level_data_58_MacKenzie_AverillExtractedFromPaper.csv,insect_sampling_58_MacKenzie_AverillExtractedFromPaper.csv,"Kenna E. Mackenzie, Anne L. Averill, David Kleijn",David Kleijn
59_MacKenzie_AverillExtractedFromPaper,field_level_data_59_MacKenzie_AverillExtractedFromPaper.csv,insect_sampling_59_MacKenzie_AverillExtractedFromPaper.csv,"Kenna E. Mackenzie, Anne L. Averill, David Kleijn",David Kleijn
66_AlexKleinAlmond_2009,field_level_data_66_AlexKleinAlmond_2009.csv,insect_sampling_66_AlexKleinAlmond_2009.csv,Alexandra-Maria Klein,Alexandra-Maria Klein
69_GreenleafKremenTomato2001,field_level_data_69_GreenleafKremenTomato2001.csv,insect_sampling_69_GreenleafKremenTomato2001.csv,"Sarah S. Greenleaf, Claire Kremen","Sarah S. Greenleaf, Claire Kremen"
74_AlexKleinCoffee_2Varieties_2001,field_level_data_74_AlexKleinCoffee_2Varieties_2001.csv,insect_sampling_74_AlexKleinCoffee_2Varieties_2001.csv,"Alexandra-Maria Klein, Ingolf Steffan-Dewenter and Teja Tscharntke",Alexandra-Maria Klein
75_AlexKleinCoffee_2Varieties_2001,field_level_data_75_AlexKleinCoffee_2Varieties_2001.csv,insect_sampling_75_AlexKleinCoffee_2Varieties_2001.csv,"Alexandra-Maria Klein, Ingolf Steffan-Dewenter and Teja Tscharntke",Alexandra-Maria Klein
84_RuanVeldtmanApple_2011,field_level_data_84_RuanVeldtmanApple_2011.csv,insect_sampling_84_RuanVeldtmanApple_2011.csv,"J.F. Colville, R. Veldtman",Ruan Veldtman
85_MarietteBrandOnion_2009,field_level_data_85_MarietteBrandOnion_2009.csv,insect_sampling_85_MarietteBrandOnion_2009.csv,Mariëtte R. Brand,Ruan Veldtman
86_MarietteBrandOnion_2010,field_level_data_86_MarietteBrandOnion_2010.csv,insect_sampling_86_MarietteBrandOnion_2010.csv,Mariëtte R. Brand,Ruan Veldtman
87_TaylorRickettsCoffee_2001,field_level_data_87_TaylorRickettsCoffee_2001.csv,insect_sampling_87_TaylorRickettsCoffee_2001.csv,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",Taylor Ricketts
88_TaylorRickettsCoffee_2002,field_level_data_88_TaylorRickettsCoffee_2002.csv,insect_sampling_88_TaylorRickettsCoffee_2002.csv,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",Taylor Ricketts
89_BlandeViana_PassionFruit2005,field_level_data_89_BlandeViana_PassionFruit2005.csv,insect_sampling_89_BlandeViana_PassionFruit2005.csv,Blande Viana,Blande Viana
90_ShaleneJhaCoffee_2006,field_level_data_90_ShaleneJhaCoffee_2006.csv,insect_sampling_90_ShaleneJhaCoffee_2006.csv,Shalene Jha and John H. Vandermeer,Shalene Jha
AK_almond,field_level_data_AK_almond.csv,insect_sampling_AK_almond.csv,"Alexandra-Maria Klein, Claire Brittain, Stephen D. Hendrix, Robbin Thorp, Neal Williams and Claire Kremen",Alexandra-Maria Klein
ande01,field_level_data_ande01.csv,insect_sampling_ande01.csv,"Georg Andersson (Lund University), Project MULTIFUNC",Georg Andersson
ande02,field_level_data_ande02.csv,insect_sampling_ande02.csv,"Georg Andersson (Lund University), Project MULTIFUNC",Georg Andersson
barn01,field_level_data_barn01.csv,insect_sampling_barn01.csv,Katherine LW Burns & Dara A Stanley,Katherine LW Burns
Bart01,field_level_data_Bart01.csv,insect_sampling_Bart01.csv,"Ignasi Bartomeus, Vesna Gagic, Riccardo Bommarco",Ignasi Bartomeus
bomm01,field_level_data_bomm01.csv,insect_sampling_bomm01.csv,Riccardo Bommarco,Riccardo Bommarco
Bommarco_Rundlof_2009,field_level_data_Bommarco_Rundlof_2009.csv,insect_sampling_Bommarco_Rundlof_2009.csv,Riccardo Bommarco,Riccardo Bommarco
bore01,field_level_data_bore01.csv,insect_sampling_bore01.csv,"Virginie Boreux (now at Freiburg Uni), ETH Zurich",Virginie Boreux
bore02,field_level_data_bore02.csv,insect_sampling_bore02.csv,"Virginie Boreux (now at Freiburg Uni), ETH Zurich, Project EcoFruit",Virginie Boreux
Brassica_napus_Brazil_2011,field_level_data_Brassica_napus_Brazil_2011.csv,insect_sampling_Brassica_napus_Brazil_2011.csv,Betina Blochtein & Patrícia Nunes-Silva & Rosana Halinski de Oliveira,Betina Blochtein
Breno_cotton,field_level_data_Breno_cotton.csv,insect_sampling_Breno_cotton.csv,Breno M. Freitas,Breno M. Freitas
Brittain_Klein_2008,field_level_data_Brittain_Klein_2008.csv,insect_sampling_Brittain_Klein_2008.csv,"Claire Brittain, Claire Kremen and Alexandra-Maria Klein",Alexandra-Maria Klein
carv01,field_level_data_carv01.csv,insect_sampling_carv01.csv,Luísa G. Carvalheiro,Luísa G. Carvalheiro
carv02,field_level_data_carv02.csv,insect_sampling_carv02.csv,Luísa G. Carvalheiro,Luísa G. Carvalheiro
carv03,field_level_data_carv03.csv,insect_sampling_carv03.csv,Luísa G. Carvalheiro,Luísa G. Carvalheiro
cavi01,field_level_data_cavi01.csv,insect_sampling_cavi01.csv,Pablo Cavigliasso. Instituto Nacional de Tecnologia Agropecuaria (INTA) - Programa Nacional Apicola (PNAPI),Pablo Cavigliasso
chac01,field_level_data_chac01.csv,insect_sampling_chac01.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff
chac02,field_level_data_chac02.csv,insect_sampling_chac02.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff
chac03,field_level_data_chac03.csv,insect_sampling_chac03.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff
chac04,field_level_data_chac04.csv,insect_sampling_chac04.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff
clas01,field_level_data_clas01.csv,insect_sampling_clas01.csv,"Alice Claßen, Ingolf Steffan-Dewenter (University of Würzburg). Landscape Data: Thomas Nauss et al. (University of Marburg)",Alice Claßen
Cunningham_2001,field_level_data_Cunningham_2001.csv,insect_sampling_Cunningham_2001.csv,"Rosalind Blanche, and Saul A. Cunningham",Saul A. Cunningham
Cunningham_2006,field_level_data_Cunningham_2006.csv,insect_sampling_Cunningham_2006.csv,"Anthony D. Arthur, Jin Li, Steve Henry, and Saul A. Cunningham",Saul A. Cunningham
cuss01,field_level_data_cuss01.csv,insect_sampling_cuss01.csv,"Sarah Cusser (University of Texas, Austin)",WITHOUT OK Sarah Cusser
ekro01,field_level_data_ekro01.csv,insect_sampling_ekro01.csv,Johan Ekroos & Henrik Smith (Lund University),Johan Ekroos
fije01,field_level_data_fije01.csv,insect_sampling_fije01.csv,Thijs Fijen,Thijs Fijen
fije02,field_level_data_fije02.csv,insect_sampling_fije02.csv,Thijs Fijen,Thijs Fijen
FREI01,field_level_data_FREI01.csv,insect_sampling_FREI01.csv,Breno M. Freitas,Breno M. Freitas
FREI02,field_level_data_FREI02.csv,insect_sampling_FREI02.csv,Breno M. Freitas,Breno M. Freitas
FREI03,field_level_data_FREI03.csv,insect_sampling_FREI03.csv,Breno M. Freitas,Breno M. Freitas
FREI04,field_level_data_FREI04.csv,insect_sampling_FREI04.csv,Breno M. Freitas,Breno M. Freitas
FREI05,field_level_data_FREI05.csv,insect_sampling_FREI05.csv,Breno M. Freitas,Breno M. Freitas
FREI06,field_level_data_FREI06.csv,insect_sampling_FREI06.csv,Breno M. Freitas,Breno M. Freitas
FREI07,field_level_data_FREI07.csv,insect_sampling_FREI07.csv,Breno M. Freitas,Breno M. Freitas
garr01,field_level_data_garr01.csv,insect_sampling_garr01.csv,Michael Garratt (University of Reading),Michael Garratt
garr02,field_level_data_garr02.csv,insect_sampling_garr02.csv,Michael Garratt (University of Reading),Michael Garratt
garr03,field_level_data_garr03.csv,insect_sampling_garr03.csv,Michael Garratt (University of Reading),Michael Garratt
garr04,field_level_data_garr04.csv,insect_sampling_garr04.csv,Michael Garratt (University of Reading),Michael Garratt
grab011,field_level_data_grab011.csv,insect_sampling_grab011.csv,"Heather Grab, USDA NASS",Heather Lee Grab
grab012,field_level_data_grab012.csv,insect_sampling_grab012.csv,"Heather Grab, USDA NASS",Heather Lee Grab
grab013,field_level_data_grab013.csv,insect_sampling_grab013.csv,"Heather Grab, USDA NASS",Heather Lee Grab
Groo01,field_level_data_Groo01.csv,insect_sampling_Groo01.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn
Groo02,field_level_data_Groo02.csv,insect_sampling_Groo02.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn
Groo03,field_level_data_Groo03.csv,insect_sampling_Groo03.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn
Groo04,field_level_data_Groo04.csv,insect_sampling_Groo04.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn
hevi01,field_level_data_hevi01.csv,NA,"Violeta Hevia, Jorge Ortega, José A. González",Violeta Hevia
hipo01,field_level_data_hipo01.csv,insect_sampling_hipo01.csv,"Juliana Hipólito, Blandina Viana (Universidade Federal da Bahia)",Juliana Hipólito
hipo02,field_level_data_hipo02.csv,insect_sampling_hipo02.csv,"Juliana Hipólito, Blandina Viana (Universidade Federal da Bahia)",Juliana Hipólito
Hipolito_2005,field_level_data_Hipolito_2005.csv,insect_sampling_Hipolito_2005.csv,"Juliana Hipólito de Sousa, Camila Magalhães Pigozzo & Blandina Felipe Viana",Juliana Hipólito
Jauker_2006,field_level_data_Jauker_2006.csv,insect_sampling_Jauker_2006.csv,Frank Jauker,Frank Jauker
Jessica_Pumpkin,field_level_data_Jessica_Pumpkin.csv,insect_sampling_Jessica_Pumpkin.csv,Jessica D. Petersen and Brian A. Nault,Jessica D. Petersen
knap01,field_level_data_knap01.csv,NA,Knapp et al. 19,Jessica Knapp
krish011,field_level_data_krish011.csv,insect_sampling_krish011.csv,"Smitha Krishnan, ETH Zurich",Smitha Krishnan
krish012,field_level_data_krish012.csv,insect_sampling_krish012.csv,"Smitha Krishnan, ETH Zurich",Smitha Krishnan
krish013,field_level_data_krish013.csv,insect_sampling_krish013.csv,"Smitha Krishnan, ETH Zurich",Smitha Krishnan
krish02,field_level_data_krish02.csv,insect_sampling_krish02.csv,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",Smitha Krishnan
Lichtenberg_Crowder_canola,field_level_data_Lichtenberg_Crowder_canola.csv,insect_sampling_Lichtenberg_Crowder_canola.csv,David Crowder (dcrowder@wsu.edu); Elinor Lichtenberg (elinor.lichtenberg@unt.edu),David Crowder
Lindstrom_2011,field_level_data_Lindstrom_2011.csv,insect_sampling_Lindstrom_2011.csv,Sandra Lindstrom,Sandra Lindstrom
Lindstrom_2012,field_level_data_Lindstrom_2012.csv,insect_sampling_Lindstrom_2012.csv,Sandra Lindstrom,Sandra Lindstrom
mall01,field_level_data_mall01.csv,insect_sampling_mall01.csv,"Rachel Mallinger, USDA-ARS",WITHOUT OK Rachel Mallinger
mall02,field_level_data_mall02.csv,insect_sampling_mall02.csv,"Rachel Mallinger, USDA-ARS",WITHOUT OK Rachel Mallinger
Malus_domestia_Norway_2013,field_level_data_Malus_domestia_Norway_2013.csv,insect_sampling_Malus_domestia_Norway_2013.csv,Jens Åström,Jens Åström
Malus_domestica_Brazil_2010,field_level_data_Malus_domestica_Brazil_2010.csv,insect_sampling_Malus_domestica_Brazil_2010.csv,"Fabiana Oliveira da silva, Jeferson da Encarnação Coutinho",Fabiana Oliveira da Silva
Malus_domestica_Brazil_2011,field_level_data_Malus_domestica_Brazil_2011.csv,insect_sampling_Malus_domestica_Brazil_2011.csv,"Fabiana Oliveira da silva, Jeferson da Encarnação Coutinho",Fabiana Oliveira da Silva
Malus_domestica_Brazil_2012,field_level_data_Malus_domestica_Brazil_2012.csv,insect_sampling_Malus_domestica_Brazil_2012.csv,"Fabiana Oliveira da Silva, Jeferson da Encarnação Coutinho",Fabiana Oliveira da Silva
Mark_pigeonpea,field_level_data_Mark_pigeonpea.csv,insect_sampling_Mark_pigeonpea.csv,"Mark Otieno, C. Sheena Sidhu, Ben A. Woodcock, Andrew Wilby, Ioannis N. Vogiatzakis, Alice L. Mauchline, Mary W. Gikungu, and Simon G. Potts",Mark Otieno
mayfield_NA,field_level_data_mayfield_NA.csv,insect_sampling_mayfield_NA.csv,"Taylor H. Ricketts, Neal M. Williams, and Margaret M. Mayfield",Margaret Mayfield
mont01,field_level_data_mont01.csv,NA,Ana Montero-Castaño and Nigel E. Raine,Ana Montero-Castaño
pisanty_mandelik_2009,field_level_data_pisanty_mandelik_2009.csv,insect_sampling_pisanty_mandelik_2009.csv,Yael Mandelik,Yael Mandelik
pott01,field_level_data_pott01.csv,insect_sampling_pott01.csv,Simon Potts (University of Reading),Simon Potts
rade01,field_level_data_rade01.csv,insect_sampling_rade01.csv,Dr Romina Rader (The University of New England),Romina Rader
ramo01,field_level_data_ramo01.csv,insect_sampling_ramo01.csv,Davi L. Ramos; Felipe D. da Silva e Silva (University of Brasilia),WITHOUT OK Davi L. Ramos
Reemer_Kleijn_2010,field_level_data_Reemer_Kleijn_2010.csv,insect_sampling_Reemer_Kleijn_2010.csv,David Kleijn,David Kleijn
Reemer_Kleijn_2010_Apple,field_level_data_Reemer_Kleijn_2010_Apple.csv,insect_sampling_Reemer_Kleijn_2010_Apple.csv,David Kleijn,David Kleijn
Reemer_Kleijn_2011,field_level_data_Reemer_Kleijn_2011.csv,insect_sampling_Reemer_Kleijn_2011.csv,David Kleijn,David Kleijn
Reemer_Kleijn_2011_Apple,field_level_data_Reemer_Kleijn_2011_Apple.csv,insect_sampling_Reemer_Kleijn_2011_Apple.csv,David Kleijn,David Kleijn
Rundlof_2011,field_level_data_Rundlof_2011.csv,insect_sampling_Rundlof_2011.csv,Maj Rundlof,Maj Rundlof
Rundlof_2012,field_level_data_Rundlof_2012.csv,insect_sampling_Rundlof_2012.csv,Maj Rundlof,Maj Rundlof
saez01,field_level_data_saez01.csv,insect_sampling_saez01.csv,Agustin Saez/CONICET (Universidad Nacional del Comahue),Agustin Saez
sche01,field_level_data_sche01.csv,insect_sampling_sche01.csv,"Jeroen Scheper (WUR), David Kleijn (WUR), Isabelle Badenhausser (CEBC-CNRS), Vincent Bretagnolle (CEBC-CNRS), Ignasi Bartomeus (EBD-CSIC), Carlos Zaragoza-Trello (EBD-CSIC)",Jeroen Scheper
Scheper_2011,field_level_data_Scheper_2011.csv,insect_sampling_Scheper_2011.csv,Jeroen Scheper,Jeroen Scheper
Scheper_2012,field_level_data_Scheper_2012.csv,insect_sampling_Scheper_2012.csv,Jeroen Scheper,Jeroen Scheper
Schueep_NA,field_level_data_Schueep_NA.csv,insect_sampling_Schueep_NA.csv,"Christof Schuepp, Felix Herzog and Martin H. Entling",Christof Schüepps
scil01,field_level_data_scil01.csv,insect_sampling_scil01.csv,"Amber Sciligo, Claire Kremen (UC Berkeley)","Amber Sciligo, Claire Kremen (UC Berkeley)"
stan01,field_level_data_stan01.csv,insect_sampling_stan01.csv,"Dara Stanley NUI Galway, Jane Stout (Trinity College Dublin)",Dara Stanley
stew01,field_level_data_stew01.csv,insect_sampling_stew01.csv,https://snd.gu.se/en/catalogue/study/by-topic,WITHOUT OK Rebecca Steward
Sunflowers_SouthAfrica_2011,field_level_data_Sunflowers_SouthAfrica_2011.csv,insect_sampling_Sunflowers_SouthAfrica_2011.csv,Ruan Veldtman & Jonathan Colville,Ruan Veldtman
sutt01,field_level_data_sutt01.csv,insect_sampling_sutt01.csv,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",Louis Sutter
szen01,field_level_data_szen01.csv,insect_sampling_szen01.csv,Hajnalka Szentgyorgyi,Hajnalka Szentgyorgyi
Taki01,field_level_data_Taki01.csv,insect_sampling_Taki01.csv,"Hisatomo Taki, Forestry and forest products research institute",Hisatomo Taki
Taki02,field_level_data_Taki02.csv,insect_sampling_Taki02.csv,"Hisatomo Taki, Forestry and forest products research institute",Hisatomo Taki
Trifolium pratense_Norway_2013,field_level_data_Trifolium pratense_Norway_2013.csv,NA,Jens Åström,Jens Åström
Vaccinium_meridionale_Colombia_2013,field_level_data_Vaccinium_meridionale_Colombia_2013.csv,insect_sampling_Vaccinium_meridionale_Colombia_2013.csv,Guiomar Nates Parra,Guiomar Nates Parra
vere01,field_level_data_vere01.csv,insect_sampling_vere01.csv,"Nicolas J. Vereecken, Timothy Weekers",Nicolas J. Vereecken
Vergara_2004,field_level_data_Vergara_2004.csv,insect_sampling_Vergara_2004.csv,Carlos H. Vergara and Ernesto I. Badano,Carlos H. Vergara
will01,field_level_data_will01.csv,insect_sampling_will01.csv,Bryony Willcox (The University of New England),Bryony Willcox
Winfree_griffin_2008,field_level_data_Winfree_griffin_2008.csv,insect_sampling_Winfree_griffin_2008.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree
Winfree_griffin_2010,field_level_data_Winfree_griffin_2010.csv,insect_sampling_Winfree_griffin_2010.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree
Winfree_griffin_2011,field_level_data_Winfree_griffin_2011.csv,insect_sampling_Winfree_griffin_2011.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree
Winfree_griffin_2012,field_level_data_Winfree_griffin_2012.csv,insect_sampling_Winfree_griffin_2012.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree
zouy01,field_level_data_zouy01.csv,insect_sampling_zouy01.csv,Wageningen University,Yi Zou
