code,file_field,file_insect,Credit,author_folder,Location,Raw_data_Folder,
45_RachaelWinfree_Apple_2004,field_level_data_45_RachaelWinfree_Apple_2004.csv,insect_sampling_45_RachaelWinfree_Apple_2004.csv,Rachael Winfree,Rachael Winfree,KLEIJN 2015 DATABASE,45_RachaelWinfree_Apple_2004,
46_RachaelWinfreeTomato_2004,field_level_data_46_RachaelWinfreeTomato_2004.csv,insect_sampling_46_RachaelWinfreeTomato_2004.csv,Rachael Winfree et al.,Rachael Winfree,KLEIJN 2015 DATABASE,46_47_RachaelWinfreeTomato_2004_2005,
47_RachaelWinfreeTomato_2005,field_level_data_47_RachaelWinfreeTomato_2005.csv,insect_sampling_47_RachaelWinfreeTomato_2005.csv,Rachael Winfree et al.,Rachael Winfree,KLEIJN 2015 DATABASE,46_47_RachaelWinfreeTomato_2004_2005,
48_RachaelWinfreeCranberry_2009,field_level_data_48_RachaelWinfreeCranberry_2009.csv,insect_sampling_48_RachaelWinfreeCranberry_2009.csv,Rachael Winfree et al.,Rachael Winfree,KLEIJN 2015 DATABASE,48_49_RachaelWinfreeCranberry_2009_2010,
49_RachaelWinfreeCranberry_2010,field_level_data_49_RachaelWinfreeCranberry_2010.csv,insect_sampling_49_RachaelWinfreeCranberry_2010.csv,Rachael Winfree et al.,Rachael Winfree,KLEIJN 2015 DATABASE,48_49_RachaelWinfreeCranberry_2009_2010,
50_RachaelWinfreeMuskMelon_2004,field_level_data_50_RachaelWinfreeMuskMelon_2004.csv,insect_sampling_50_RachaelWinfreeMuskMelon_2004.csv,Rachael Winfree et al.,Rachael Winfree,KLEIJN 2015 DATABASE,50_RachaelWinfreeMuskMelon_2004,
51_RachaelWinfreeBlueBerry_2010,field_level_data_51_RachaelWinfreeBlueBerry_2010.csv,insect_sampling_51_RachaelWinfreeBlueBerry_2010.csv,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",Rachael Winfree,KLEIJN 2015 DATABASE,51_52_RachaelWinfreeBlueBerry_2010_2011,
52_RachaelWinfreeBlueBerry_2011,field_level_data_52_RachaelWinfreeBlueBerry_2011.csv,insect_sampling_52_RachaelWinfreeBlueBerry_2011.csv,"Faye E. Benjamin, James R. Reilly, Rachael Winfree",Rachael Winfree,KLEIJN 2015 DATABASE,51_52_RachaelWinfreeBlueBerry_2010_2011,
58_MacKenzie_AverillExtractedFromPaper,field_level_data_58_MacKenzie_AverillExtractedFromPaper.csv,insect_sampling_58_MacKenzie_AverillExtractedFromPaper.csv,"Kenna E. Mackenzie, Anne L. Averill, David Kleijn",David Kleijn,KLEIJN 2015 DATABASE,58_59_MacKenzie_AverillExtractedFromPaper,
59_MacKenzie_AverillExtractedFromPaper,field_level_data_59_MacKenzie_AverillExtractedFromPaper.csv,insect_sampling_59_MacKenzie_AverillExtractedFromPaper.csv,"Kenna E. Mackenzie, Anne L. Averill, David Kleijn",David Kleijn,KLEIJN 2015 DATABASE,58_59_MacKenzie_AverillExtractedFromPaper,
66_AlexKleinAlmond_2009,field_level_data_66_AlexKleinAlmond_2009.csv,insect_sampling_66_AlexKleinAlmond_2009.csv,Alexandra-Maria Klein,Alexandra-Maria Klein,KLEIJN 2015 DATABASE,66_AlexKleinAlmond_2009,
69_GreenleafKremenTomato2001,field_level_data_69_GreenleafKremenTomato2001.csv,insect_sampling_69_GreenleafKremenTomato2001.csv,"Sarah S. Greenleaf, Claire Kremen",Claire Kremen,KLEIJN 2015 DATABASE,69_GreenleafKremenTomato2001,
74_AlexKleinCoffee_2Varieties_2001,field_level_data_74_AlexKleinCoffee_2Varieties_2001.csv,insect_sampling_74_AlexKleinCoffee_2Varieties_2001.csv,"Alexandra-Maria Klein, Ingolf Steffan-Dewenter and Teja Tscharntke",Alexandra-Maria Klein,KLEIJN 2015 DATABASE,74_75_AlexKleinCoffee_2Varieties_2001,
75_AlexKleinCoffee_2Varieties_2001,field_level_data_75_AlexKleinCoffee_2Varieties_2001.csv,insect_sampling_75_AlexKleinCoffee_2Varieties_2001.csv,"Alexandra-Maria Klein, Ingolf Steffan-Dewenter and Teja Tscharntke",Alexandra-Maria Klein,KLEIJN 2015 DATABASE,74_75_AlexKleinCoffee_2Varieties_2001,
84_RuanVeldtmanApple_2011,field_level_data_84_RuanVeldtmanApple_2011.csv,insect_sampling_84_RuanVeldtmanApple_2011.csv,"J.F. Colville, R. Veldtman",Ruan Veldtman,KLEIJN 2015 DATABASE,84_RuanVeldtmanApple_2011,
85_MarietteBrandOnion_2009,field_level_data_85_MarietteBrandOnion_2009.csv,insect_sampling_85_MarietteBrandOnion_2009.csv,Mariëtte R. Brand,Mariëtte R. Brand,KLEIJN 2015 DATABASE,85_86_MarietteBrandOnion_2009_2010,
86_MarietteBrandOnion_2010,field_level_data_86_MarietteBrandOnion_2010.csv,insect_sampling_86_MarietteBrandOnion_2010.csv,Mariëtte R. Brand,Mariëtte R. Brand,KLEIJN 2015 DATABASE,85_86_MarietteBrandOnion_2009_2010,
87_TaylorRickettsCoffee_2001,field_level_data_87_TaylorRickettsCoffee_2001.csv,insect_sampling_87_TaylorRickettsCoffee_2001.csv,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",Taylor Ricketts,KLEIJN 2015 DATABASE,87_88_TaylorRickettsCoffee_2001_2002,
88_TaylorRickettsCoffee_2002,field_level_data_88_TaylorRickettsCoffee_2002.csv,insect_sampling_88_TaylorRickettsCoffee_2002.csv,"Taylor H. Ricketts, Gretchen C. Daily, Paul R. Ehrlich, and Charles D. Michener",Taylor Ricketts,KLEIJN 2015 DATABASE,87_88_TaylorRickettsCoffee_2001_2002,
89_BlandeViana_PassionFruit2005,field_level_data_89_BlandeViana_PassionFruit2005.csv,insect_sampling_89_BlandeViana_PassionFruit2005.csv,Blande Viana,Blande Viana,KLEIJN 2015 DATABASE,89_BlandeViana_PassionFruit2005,
90_ShaleneJhaCoffee_2006,field_level_data_90_ShaleneJhaCoffee_2006.csv,insect_sampling_90_ShaleneJhaCoffee_2006.csv,Shalene Jha and John H. Vandermeer,Shalene Jha,KLEIJN 2015 DATABASE,90_ShaleneJhaCoffee_2006,
AK_almond,field_level_data_AK_almond.csv,insect_sampling_AK_almond.csv,"Alexandra-Maria Klein, Claire Brittain, Stephen D. Hendrix, Robbin Thorp, Neal Williams and Claire Kremen",Alexandra-Maria Klein,GARIBALDI 2015 DATABASE,Nacho-Lucas/datos,
ande01,field_level_data_ande01.csv,insect_sampling_ande01.csv,"Georg Andersson (Lund University), Project MULTIFUNC",Georg Andersson,DAINESE 2019 DATABASE,DATASETS,
ande02,field_level_data_ande02.csv,insect_sampling_ande02.csv,"Georg Andersson (Lund University), Project MULTIFUNC",Georg Andersson,DAINESE 2019 DATABASE,DATASETS,
Burn01,field_level_data_burn01.csv,insect_sampling_burn01.csv,Katherine LW Burns & Dara A Stanley,Katherine LW Burns,Burn01,,
Bart01,field_level_data_Bart01.csv,insect_sampling_Bart01.csv,"Ignasi Bartomeus, Vesna Gagic, Riccardo Bommarco",Ignasi Bartomeus,Bart01,,
bomm01,field_level_data_bomm01.csv,insect_sampling_bomm01.csv,Riccardo Bommarco,Riccardo Bommarco,DAINESE 2019 DATABASE,DATASETS,
Bommarco_Rundlof_2009,field_level_data_Bommarco_Rundlof_2009.csv,insect_sampling_Bommarco_Rundlof_2009.csv,Riccardo Bommarco,Riccardo Bommarco,RADER 2016 DATABASE,Individual CSV,
bore01,field_level_data_bore01.csv,insect_sampling_bore01.csv,"Virginie Boreux (now at Freiburg Uni), ETH Zurich",Virginie Boreux,DAINESE 2019 DATABASE,DATASETS,
bore02,field_level_data_bore02.csv,insect_sampling_bore02.csv,"Virginie Boreux (now at Freiburg Uni), ETH Zurich, Project EcoFruit",Virginie Boreux,DAINESE 2019 DATABASE,DATASETS,
Brassica_napus_Brazil_2011,field_level_data_Brassica_napus_Brazil_2011.csv,insect_sampling_Brassica_napus_Brazil_2011.csv,Betina Blochtein & Patrícia Nunes-Silva & Rosana Halinski de Oliveira,Betina Blochtein,GARIBALDI 2016 DATABASE,doSul_Canola,
Breno_cotton,field_level_data_Breno_cotton.csv,insect_sampling_Breno_cotton.csv,Breno M. Freitas,Breno M. Freitas,GARIBALDI 2015 DATABASE,Nacho-Lucas/datos,
Brittain_Klein_2008,field_level_data_Brittain_Klein_2008.csv,insect_sampling_Brittain_Klein_2008.csv,"Claire Brittain, Claire Kremen and Alexandra-Maria Klein",Alexandra-Maria Klein,RADER 2016 DATABASE,Individual CSV,
carv01,field_level_data_carv01.csv,insect_sampling_carv01.csv,Luísa G. Carvalheiro,Luísa G. Carvalheiro,DAINESE 2019 DATABASE,DATASETS,
carv02,field_level_data_carv02.csv,insect_sampling_carv02.csv,Luísa G. Carvalheiro,Luísa G. Carvalheiro,DAINESE 2019 DATABASE,DATASETS,
carv03,field_level_data_carv03.csv,insect_sampling_carv03.csv,Luísa G. Carvalheiro,Luísa G. Carvalheiro,DAINESE 2019 DATABASE,DATASETS,
cavi01,field_level_data_cavi01.csv,insect_sampling_cavi01.csv,Pablo Cavigliasso. Instituto Nacional de Tecnologia Agropecuaria (INTA) - Programa Nacional Apicola (PNAPI),Pablo Cavigliasso,DAINESE 2019 DATABASE,DATASETS,
chac01,field_level_data_chac01.csv,insect_sampling_chac01.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff,DAINESE 2019 DATABASE,DATASETS,
chac02,field_level_data_chac02.csv,insect_sampling_chac02.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff,DAINESE 2019 DATABASE,DATASETS,
chac03,field_level_data_chac03.csv,insect_sampling_chac03.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff,DAINESE 2019 DATABASE,DATASETS,
chac04,field_level_data_chac04.csv,insect_sampling_chac04.csv,Natacha Chacoff (Instituto de Ecologia Regional. CONICET UNT),Natacha Chacoff,DAINESE 2019 DATABASE,DATASETS,
clas01,field_level_data_clas01.csv,insect_sampling_clas01.csv,"Alice Claßen, Ingolf Steffan-Dewenter (University of Würzburg). Landscape Data: Thomas Nauss et al. (University of Marburg)",Alice Claßen,DAINESE 2019 DATABASE,DATASETS,
Cunningham_2001,field_level_data_Cunningham_2001.csv,insect_sampling_Cunningham_2001.csv,"Rosalind Blanche, and Saul A. Cunningham",Saul A. Cunningham,RADER 2016 DATABASE,Individual CSV,
Cunningham_2006,field_level_data_Cunningham_2006.csv,insect_sampling_Cunningham_2006.csv,"Anthony D. Arthur, Jin Li, Steve Henry, and Saul A. Cunningham",Saul A. Cunningham,RADER 2016 DATABASE,Individual CSV,
cuss01,field_level_data_cuss01.csv,insect_sampling_cuss01.csv,"Sarah Cusser (University of Texas, Austin)",Sarah Cusser,DAINESE 2019 DATABASE,DATASETS,
ekro01,field_level_data_ekro01.csv,insect_sampling_ekro01.csv,Johan Ekroos & Henrik Smith (Lund University),Johan Ekroos,DAINESE 2019 DATABASE,DATASETS,
fije01,field_level_data_fije01.csv,insect_sampling_fije01.csv,Thijs Fijen,Thijs Fijen,DAINESE 2019 DATABASE,DATASETS,
fije02,field_level_data_fije02.csv,insect_sampling_fije02.csv,Thijs Fijen,Thijs Fijen,DAINESE 2019 DATABASE,DATASETS,
FREI01,field_level_data_FREI01.csv,insect_sampling_FREI01.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
FREI02,field_level_data_FREI02.csv,insect_sampling_FREI02.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
FREI03,field_level_data_FREI03.csv,insect_sampling_FREI03.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
FREI04,field_level_data_FREI04.csv,insect_sampling_FREI04.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
FREI05,field_level_data_FREI05.csv,insect_sampling_FREI05.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
FREI06,field_level_data_FREI06.csv,insect_sampling_FREI06.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
FREI07,field_level_data_FREI07.csv,insect_sampling_FREI07.csv,Breno M. Freitas,Breno M. Freitas,DAINESE 2019 DATABASE,DATASETS,
garr01,field_level_data_garr01.csv,insect_sampling_garr01.csv,Michael Garratt (University of Reading),Michael Garratt,DAINESE 2019 DATABASE,DATASETS,
garr02,field_level_data_garr02.csv,insect_sampling_garr02.csv,Michael Garratt (University of Reading),Michael Garratt,DAINESE 2019 DATABASE,DATASETS,
garr03,field_level_data_garr03.csv,insect_sampling_garr03.csv,Michael Garratt (University of Reading),Michael Garratt,DAINESE 2019 DATABASE,DATASETS,
garr04,field_level_data_garr04.csv,insect_sampling_garr04.csv,Michael Garratt (University of Reading),Michael Garratt,DAINESE 2019 DATABASE,DATASETS,
grab011,field_level_data_grab011.csv,insect_sampling_grab011.csv,"Heather Grab, USDA NASS",Heather Lee Grab,DAINESE 2019 DATABASE,DATASETS,
grab012,field_level_data_grab012.csv,insect_sampling_grab012.csv,"Heather Grab, USDA NASS",Heather Lee Grab,DAINESE 2019 DATABASE,DATASETS,
grab013,field_level_data_grab013.csv,insect_sampling_grab013.csv,"Heather Grab, USDA NASS",Heather Lee Grab,DAINESE 2019 DATABASE,DATASETS,
Groo01,field_level_data_Groo01.csv,insect_sampling_Groo01.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn,DAINESE 2019 DATABASE,DATASETS,
Groo02,field_level_data_Groo02.csv,insect_sampling_Groo02.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn,DAINESE 2019 DATABASE,DATASETS,
Groo03,field_level_data_Groo03.csv,insect_sampling_Groo03.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn,DAINESE 2019 DATABASE,DATASETS,
Groo04,field_level_data_Groo04.csv,insect_sampling_Groo04.csv,"G.A. (Arjen) de Groot, Wageningen Environmental Research (Alterra) + David Kleijn, Wageningen University",David Kleijn,DAINESE 2019 DATABASE,DATASETS,
hevi01,field_level_data_hevi01.csv,NA,"Violeta Hevia, Jorge Ortega, José A. González",Violeta Hevia,Hevi01,,
hipo01,field_level_data_hipo01.csv,insect_sampling_hipo01.csv,"Juliana Hipólito, Blandina Viana (Universidade Federal da Bahia)",Juliana Hipólito,DAINESE 2019 DATABASE,DATASETS,
hipo02,field_level_data_hipo02.csv,insect_sampling_hipo02.csv,"Juliana Hipólito, Blandina Viana (Universidade Federal da Bahia)",Juliana Hipólito,DAINESE 2019 DATABASE,DATASETS,
Hipolito_2005,field_level_data_Hipolito_2005.csv,insect_sampling_Hipolito_2005.csv,"Juliana Hipólito de Sousa, Camila Magalhães Pigozzo & Blandina Felipe Viana",Juliana Hipólito,RADER 2016 DATABASE,Individual CSV,
Jauker_2006,field_level_data_Jauker_2006.csv,insect_sampling_Jauker_2006.csv,Frank Jauker,Frank Jauker,RADER 2016 DATABASE,Individual CSV,
Jessica_Pumpkin,field_level_data_Jessica_Pumpkin.csv,insect_sampling_Jessica_Pumpkin.csv,Jessica D. Petersen and Brian A. Nault,Jessica D. Petersen,GARIBALDI 2015 DATABASE,Nacho-Lucas/datos,
knap01,field_level_data_knap01.csv,NA,Knapp et al. 19,Jessica Knapp,Knap01,,
krish011,field_level_data_krish011.csv,insect_sampling_krish011.csv,"Smitha Krishnan, ETH Zurich",Smitha Krishnan,DAINESE 2019 DATABASE,DATASETS,
krish012,field_level_data_krish012.csv,insect_sampling_krish012.csv,"Smitha Krishnan, ETH Zurich",Smitha Krishnan,DAINESE 2019 DATABASE,DATASETS,
krish013,field_level_data_krish013.csv,insect_sampling_krish013.csv,"Smitha Krishnan, ETH Zurich",Smitha Krishnan,DAINESE 2019 DATABASE,DATASETS,
krish02,field_level_data_krish02.csv,insect_sampling_krish02.csv,"Smitha Krishnan, ETH Zurich and Ms. Maike Nesper (The PI of the project MOCA is Prof. Jaboury Ghazoul)",Smitha Krishnan,DAINESE 2019 DATABASE,DATASETS,
Lichtenberg_Crowder_canola_2013,field_level_data_Lichtenberg_Crowder_canola_2013.csv,insect_sampling_Lichtenberg_Crowder_canola_2013.csv,David Crowder (dcrowder@wsu.edu),David Crowder,David_Crowder_Brassica_napus_USA_several_years,,
Lichtenberg_Crowder_canola_2014,field_level_data_Lichtenberg_Crowder_canola_2014.csv,insect_sampling_Lichtenberg_Crowder_canola_2014.csv,David Crowder (dcrowder@wsu.edu),David Crowder,David_Crowder_Brassica_napus_USA_several_years,,
Lindstrom_2011,field_level_data_Lindstrom_2011.csv,insect_sampling_Lindstrom_2011.csv,Sandra Lindstrom,Sandra Lindstrom,RADER 2016 DATABASE,Individual CSV,
Lindstrom_2012,field_level_data_Lindstrom_2012.csv,insect_sampling_Lindstrom_2012.csv,Sandra Lindstrom,Sandra Lindstrom,RADER 2016 DATABASE,Individual CSV,
mall01,field_level_data_mall01.csv,insect_sampling_mall01.csv,"Rachel Mallinger, USDA-ARS",Rachel Mallinger,DAINESE 2019 DATABASE,DATASETS,
mall02,field_level_data_mall02.csv,insect_sampling_mall02.csv,"Rachel Mallinger, USDA-ARS",Rachel Mallinger,DAINESE 2019 DATABASE,DATASETS,
Malus_domestia_Norway_2013,field_level_data_Malus_domestia_Norway_2013.csv,insect_sampling_Malus_domestia_Norway_2013.csv,Jens Åström,Jens Åström,GARIBALDI 2016 DATABASE,Norway,
Malus_domestica_Brazil_2010,field_level_data_Malus_domestica_Brazil_2010.csv,insect_sampling_Malus_domestica_Brazil_2010.csv,"Fabiana Oliveira da silva, Jeferson da Encarnação Coutinho",Fabiana Oliveira da Silva,GARIBALDI 2016 DATABASE,Bahia_apple,
Malus_domestica_Brazil_2011,field_level_data_Malus_domestica_Brazil_2011.csv,insect_sampling_Malus_domestica_Brazil_2011.csv,"Fabiana Oliveira da silva, Jeferson da Encarnação Coutinho",Fabiana Oliveira da Silva,GARIBALDI 2016 DATABASE,Bahia_apple,
Malus_domestica_Brazil_2012,field_level_data_Malus_domestica_Brazil_2012.csv,insect_sampling_Malus_domestica_Brazil_2012.csv,"Fabiana Oliveira da Silva, Jeferson da Encarnação Coutinho",Fabiana Oliveira da Silva,GARIBALDI 2016 DATABASE,Bahia_apple,
Mark_pigeonpea,field_level_data_Mark_pigeonpea.csv,insect_sampling_Mark_pigeonpea.csv,"Mark Otieno, C. Sheena Sidhu, Ben A. Woodcock, Andrew Wilby, Ioannis N. Vogiatzakis, Alice L. Mauchline, Mary W. Gikungu, and Simon G. Potts",Mark Otieno,GARIBALDI 2015 DATABASE,Nacho-Lucas/datos,
mayfield_NA,field_level_data_mayfield_NA.csv,insect_sampling_mayfield_NA.csv,"Taylor H. Ricketts, Neal M. Williams, and Margaret M. Mayfield",Margaret Mayfield,RADER 2016 DATABASE,Individual CSV,
mont01,field_level_data_mont01.csv,NA,Ana Montero-Castaño and Nigel E. Raine,Ana Montero-Castaño,Mont01,,
pisanty_mandelik_2009,field_level_data_pisanty_mandelik_2009.csv,insect_sampling_pisanty_mandelik_2009.csv,Yael Mandelik,Yael Mandelik,RADER 2016 DATABASE,Individual CSV,
pott01,field_level_data_pott01.csv,insect_sampling_pott01.csv,Simon Potts (University of Reading),Simon Potts,DAINESE 2019 DATABASE,DATASETS,
rade01,field_level_data_rade01.csv,insect_sampling_rade01.csv,Dr Romina Rader (The University of New England),Romina Rader,DAINESE 2019 DATABASE,DATASETS,
ramo01,field_level_data_ramo01.csv,insect_sampling_ramo01.csv,Davi L. Ramos and Felipe D. da Silva e Silva (University of Brasilia),Davi L. Ramos,DAINESE 2019 DATABASE,DATASETS,
Reemer_Kleijn_2010,field_level_data_Reemer_Kleijn_2010.csv,insect_sampling_Reemer_Kleijn_2010.csv,David Kleijn,David Kleijn,RADER 2016 DATABASE,Individual CSV,
Reemer_Kleijn_2010_Apple,field_level_data_Reemer_Kleijn_2010_Apple.csv,insect_sampling_Reemer_Kleijn_2010_Apple.csv,David Kleijn,David Kleijn,RADER 2016 DATABASE,Individual CSV,
Reemer_Kleijn_2011,field_level_data_Reemer_Kleijn_2011.csv,insect_sampling_Reemer_Kleijn_2011.csv,David Kleijn,David Kleijn,RADER 2016 DATABASE,Individual CSV,
Reemer_Kleijn_2011_Apple,field_level_data_Reemer_Kleijn_2011_Apple.csv,insect_sampling_Reemer_Kleijn_2011_Apple.csv,David Kleijn,David Kleijn,RADER 2016 DATABASE,Individual CSV,
Rundlof_2011,field_level_data_Rundlof_2011.csv,insect_sampling_Rundlof_2011.csv,Maj Rundlof,Maj Rundlof,RADER 2016 DATABASE,Individual CSV,
Rundlof_2012,field_level_data_Rundlof_2012.csv,insect_sampling_Rundlof_2012.csv,Maj Rundlof,Maj Rundlof,RADER 2016 DATABASE,Individual CSV,
saez01,field_level_data_saez01.csv,insect_sampling_saez01.csv,Agustin Saez/CONICET (Universidad Nacional del Comahue),Agustin Saez,DAINESE 2019 DATABASE,DATASETS,
sche01,field_level_data_sche01.csv,insect_sampling_sche01.csv,"Jeroen Scheper (WUR), David Kleijn (WUR), Isabelle Badenhausser (CEBC-CNRS), Vincent Bretagnolle (CEBC-CNRS), Ignasi Bartomeus (EBD-CSIC), Carlos Zaragoza-Trello (EBD-CSIC)",Jeroen Scheper,DAINESE 2019 DATABASE,DATASETS,
Scheper_2011,field_level_data_Scheper_2011.csv,insect_sampling_Scheper_2011.csv,Jeroen Scheper,Jeroen Scheper,RADER 2016 DATABASE,Individual CSV,
Scheper_2012,field_level_data_Scheper_2012.csv,insect_sampling_Scheper_2012.csv,Jeroen Scheper,Jeroen Scheper,RADER 2016 DATABASE,Individual CSV,
Schueep_NA,field_level_data_Schueep_NA.csv,insect_sampling_Schueep_NA.csv,"Christof Schuepp, Felix Herzog and Martin H. Entling",Christof Schüepps,RADER 2016 DATABASE,Individual CSV,rspb-2013-2667-file007.xls
scil01,field_level_data_scil01.csv,insect_sampling_scil01.csv,"Amber Sciligo, Claire Kremen (UC Berkeley)",Claire Kremen,DAINESE 2019 DATABASE,DATASETS,
stan01,field_level_data_stan01.csv,insect_sampling_stan01.csv,"Dara Stanley NUI Galway, Jane Stout (Trinity College Dublin)",Dara Stanley,DAINESE 2019 DATABASE,DATASETS,
stew01,field_level_data_stew01.csv,insect_sampling_stew01.csv,https://snd.gu.se/en/catalogue/study/by-topic,Rebecca Steward,DAINESE 2019 DATABASE,DATASETS,
Sunflowers_SouthAfrica_2011,field_level_data_Sunflowers_SouthAfrica_2011.csv,insect_sampling_Sunflowers_SouthAfrica_2011.csv,Ruan Veldtman & Jonathan Colville,Ruan Veldtman,GARIBALDI 2016 DATABASE,SouthAfrica Sunflower,
sutt01,field_level_data_sutt01.csv,insect_sampling_sutt01.csv,"Louis Sutter (Agroscope, Zurich, Switzerland), Project QuESSA",Louis Sutter,DAINESE 2019 DATABASE,DATASETS,
Szen01,field_level_data_Szen01.csv,insect_sampling_Szen01.csv,Hajnalka Szentgyorgyi,Hajnalka Szentgyorgyi,Szen01,,
Taki01,field_level_data_Taki01.csv,insect_sampling_Taki01.csv,"Hisatomo Taki, Forestry and forest products research institute",Hisatomo Taki,DAINESE 2019 DATABASE,DATASETS,
Taki02,field_level_data_Taki02.csv,insect_sampling_Taki02.csv,"Hisatomo Taki, Forestry and forest products research institute",Hisatomo Taki,DAINESE 2019 DATABASE,DATASETS,
Trifolium pratense_Norway_2013,field_level_data_Trifolium pratense_Norway_2013.csv,NA,Jens Åström,Jens Åström,GARIBALDI 2016 DATABASE,Norway,
Vaccinium_meridionale_Colombia_2013,field_level_data_Vaccinium_meridionale_Colombia_2013.csv,insect_sampling_Vaccinium_meridionale_Colombia_2013.csv,Guiomar Nates Parra,Guiomar Nates Parra,GARIBALDI 2016 DATABASE,Colombia,
vere01,field_level_data_vere01.csv,insect_sampling_vere01.csv,"Nicolas J. Vereecken, Timothy Weekers",Nicolas J. Vereecken,Vere01,,
Vergara_2004,field_level_data_Vergara_2004.csv,insect_sampling_Vergara_2004.csv,Carlos H. Vergara and Ernesto I. Badano,Carlos H. Vergara,RADER 2016 DATABASE,Individual CSV,
will01,field_level_data_will01.csv,insect_sampling_will01.csv,Bryony Willcox (The University of New England),Bryony Willcox,DAINESE 2019 DATABASE,DATASETS,
Winfree_griffin_2008,field_level_data_Winfree_griffin_2008.csv,insect_sampling_Winfree_griffin_2008.csv,"Rachael Winfree, Neal M. Williams, Jonathan Dushoff, and Claire Kremen",Rachael Winfree,RADER 2016 DATABASE,Individual CSV,
