OrganismID,Family
Andrena haemorrhoa,Andrenidae
Andrena haemorrhoa,NA
Andrena haemorrhoa,Apidae
Andrena hattorfiana,NA
Andrena helvola,NA
Andrena helvola,Andrenidae
Andrena helvola,Apidae
Andrena hikosana,Andrenidae
Andrena hippotes,Andrenidae
Andrena humilis,Andrenidae
Andrena illini,Andrenidae
Andrena imitatrix,Andrenidae
Andrena integra,Andrenidae
Andrena jacobi,Andrenidae
Andrena kaguya,Andrenidae
Andrena labialis,Andrenidae
Andrena labiata,Andrenidae
Andrena lapponica,Apidae
Andrena lepida,Andrenidae
Andrena luridiloma,Andrenidae
Andrena mandibularis,Andrenidae
Andrena mariae,Andrenidae
Andrena melanochroa,Andrenidae
Andrena milwaukeensis,Andrenidae
Andrena minutula,Andrenidae
Andrena minutuloides,Andrenidae
Andrena miserabilis,Andrenidae
Andrena mitis,Andrenidae
Andrena mucida,Andrenidae
Andrena nasonii,Andrenidae
Andrena nigrae,Andrenidae
Andrena nigroaenea,Andrenidae
Andrena nigroaenea,NA
Andrena nigroaenea,Apidae
Andrena nigrocaerulea,Andrenidae
Andrena nitida,Andrenidae
Andrena nitida,Apidae
Andrena nivalis,Andrenidae
Andrena ovatula,Andrenidae
Andrena perplexa,Andrenidae
Andrena personata,Andrenidae
Andrena pilipes,Andrenidae
Andrena pruni,Andrenidae
Andrena regularis,Andrenidae
Andrena robertsonii,Andrenidae
Andrena rosae,Andrenidae
Andrena rufosignata,Andrenidae
Andrena rugosa,Andrenidae
Andrena semilaevis,Andrenidae
Andrena sigmundi,Andrenidae
Andrena sp,Andrenidae
Andrena sp.,Andrenidae
Andrena sp. ,Andrenidae
Andrena sp. 4,Andrenidae
Andrena sp1,Andrenidae
Andrena subopaca,Andrenidae
Andrena subopaca,NA
Andrena subopaca,Apidae
Andrena synadelpha,Andrenidae
Andrena taraxaci,Andrenidae
Andrena thoracica,Andrenidae
Andrena tibialis,Andrenidae
Andrena tridens,Andrenidae
Andrena trimmerana,Andrenidae
Andrena tumulorum,Andrenidae
Andrena vaga,Andrenidae
Andrena variabilis,Andrenidae
Andrena varians,Andrenidae
Andrena vicina,Andrenidae
Andrena vitiosa,Andrenidae
Andrena w-scripta,Andrenidae
Andrena wilkella,Andrenidae
Andrena zizae,Andrenidae
Andrena.barbilabris,NA
Andrena.bicolor,NA
Andrena.carantonica,NA
Andrena.cineraria,NA
Andrena.dorsata,NA
Andrena.flavipes,NA
Andrena.fulvata,NA
Andrena.gravida,NA
Andrena.haemorrhoa,NA
Andrena.helvola,NA
Andrena.humilis,NA
Andrena.minutula,NA
Andrena.minutuloides,NA
Andrena.nitida,NA
Andrena.subopaca,NA
Andrena_ bicolor,Andrenidae
Andrena_ bimaculata,Andrenidae
Andrena_ carantonica,Andrenidae
Andrena_ cf. fulva,Andrenidae
Andrena_ cf. minutula,Andrenidae
Andrena_ chrysosceles,Andrenidae
Andrena_ cineraria,Andrenidae
Andrena_ dorsata,Andrenidae
Andrena_ flavipes,Andrenidae
Andrena_ fulva,Andrenidae
Andrena_ haemorrhoa,Andrenidae
Andrena_ helvola,Andrenidae
Andrena_ minutula-groep,Andrenidae
Andrena_ nitida,Andrenidae
Andrena_ varians,Andrenidae
Andrena_cineraria,Andrenidae
Andrena_cineraria,Apidae
Andrena_labialis,Apidae
Andrena_wilkella,Apidae
Andrenidae,Andrenidae
Anisodactylus.binotatus,NA
Anisodactylus.signatus,NA
Anoplius nigerrimus,Andrenidae
Anoplolepis_sp_1_,Formicidae
Anoplolepis_sp_2_,Formicidae
ant,NA
Ant,Formicidae
Anterhynchium flavomarginatum,Vespidae
Anthidium manicatum,Megachilidae
Anthidium septemspinosum,Megachilidae
Anthophora plumipes,Apidae
Anthophora quadrimaculata,Apidae
Anthophora.plumipes,NA
Anthophora_ plumipes,Apidae
Ants: Formica rufa,Formicidae
Aphididae,NA
Aphids,NA
Apionidae_sp1,Apionidae
Apis cerana,Apidae
Apis cerana indica,Apidae
Apis dorsata,Apidae
Apis florea,Apidae
Apis melifera,Apidae
Apis mellifera,Apidae
Apis mellifera,NA
Apis mellifera L.,Apidae
"Apis mellifera Linnaeus, 1758",Apidae
apis.mellifera,NA
Apis.mellifera,NA
Apis_ mellifera,Apidae
Apis_cerana,Apidae
Apis_dorsata,Apidae
Apis_mellifera,Apidae
Apoica pallens ,Vespidae
Apoidea,Apoidea
Apoidea sp 1,Apoidea
Apoidea sp.1,Apidae
Apoidea_largerthanHoneybee,NA
Apoidea_sizeequalsHoneybee,NA
Apoidea_smallerthanHoneybee,NA
Araneae,NA
Arctiidae sp 1,Arctiidae
Arge nipponensis ,Argidae
Asaphdion.flavipes,NA
Asilidae,Asildae
Astylus atromaculatus Blanchard *,Melyridae
Athalia infumata,Tenthredinidae
Athalia rosae ,Tenthredinidae
Athalia rosae ruficornis,Tenthredinidae
Atylotus hasegawai,Tabanidae
Augochlora pura,Halictidae
Augochlorella,Halictidae
Augochlorella aurata,Halictidae
Augochlorella bracteata,Halictidae
Augochlorella pura,Halictidae
Augochloropsis metallica,Halictidae
Augochloropsis sp.,Halictidae
Augochloropsis sp.1,Halictidae
Aulacophora indica,Chrysomelidae
Aulacophora nigripennis,Chrysomelidae
Austalis resolutus,Syrphidae
Avispa marron,NA
Avispa negra,NA
Avispa negra ,NA
Avispa negra copada,NA
Avispa pequeña,NA
Avispa rayada ,NA
B. hortorum,Apidae
B. hypnorum,Apidae
B. lapidarius,Apidae
B. pascuorum,Apidae
B. pratorum,Apidae
B. terrestris,Apidae
B_lapidarius,Apidae
B_lucorum,Apidae
B_terrestris,Apidae
Badister.bullatus,NA
"Baris cf. atrocoerulea (Boheman, 1844)",Curculionidae
Bee sp.,Apoidae
Bee sp. 2,Apoidae
Bee sp. 3,Apoidae
beetle,NA
Beetle,Coleoptera (order)
Belanogaster_sp_,Vespidae
Belenois thysa,Pieridae
Bembidion.lampros,NA
Bembidion.obtusum,NA
Bembidion.properans,NA
Bembidion.quadrimaculatum,NA
Bembidion.tetracolum,NA
Bembix rostrata,Crabronidae
Bembix sp. 1,Crabronidae
Betassyrphus adligatus,Syrphidae
Betasyrphus adliagatus,Syrphidae
Betasyrphus seriarius,Syrphidae
Bibio spp. (st Marks fly),Bibionidae
Bibionidae sp.,Bibionidae
Bibionidae sp.1,Bibionidae
Boettcherisca peregrina,Sarcophagidae
Bombini,Apidae
Bombus,Apidae
Bombus  cf. brevivillus,Apidae
"Bombus (Fervidobombus) morio Swederus, 1787",Apidae
Bombus atratus,Apidae
Bombus auricomus,Apidae
Bombus barbutellus,Apidae
Bombus belicoso,Apidae
Bombus bimaculatus,Apidae
Bombus bohemicus,Apidae
Bombus bohemicus,NA
Bombus brevivillus,Apidae
Bombus californicus,Apidae
Bombus campestris,Apidae
Bombus campestris,NA
Bombus dahlbomii,Apidae
Bombus distinguendus,Apidae
Bombus fervidus,Apidae
Bombus hortorum,Apidae
Bombus hortorum,NA
Bombus humilis,Apidae
Bombus hypnorum,Apidae
Bombus hypnorum,NA
Bombus impatiens,Apidae
Bombus jonellus,NA
Bombus jonellus,Apidae
Bombus lapidarius,Apidae
Bombus lapidarius,NA
Bombus lucorum,Apidae
Bombus lucorum,NA
Bombus magnus,Apidae
Bombus melanopygus,Apidae
Bombus morio,Apidae
Bombus muscorum,Apidae
Bombus muscorum,NA
Bombus negro,Apidae
Bombus negro ,Apidae
Bombus pascuorum,Apidae
Bombus pascuorum,NA
Bombus pensylvanicus,Apidae
Bombus pratensis,Apidae
Bombus pratorum,Apidae
Bombus pratorum,NA
Bombus ruderarius,Apidae
Bombus ruderarius,NA
Bombus rudurarius,Apidae
Bombus rufocinctus,Apidae
Bombus rupestris,Apidae
Bombus rupestris,NA
Bombus soroeensis,Apidae
Bombus soroeensis,NA
Bombus sp,Apidae
Bombus sp.,Apidae
Bombus sp. ,Apidae
Bombus spp,Apidae
Bombus spp. unknown or unidentified ,Apidae
Bombus subterraneus,Apidae
Bombus subterraneus,NA
Bombus sylvarum,Apidae
Bombus sylvarum,NA
Bombus sylvestris,Apidae
Bombus terrestris,Apidae
Bombus terrestris,NA
Bombus terrestris-complex,Apidae
Bombus terrestris or lucorum,Apidae
Bombus terrestris/lucorum,Apidae
Bombus vagans,Apidae
Bombus vestalis,NA
Bombus vestalis,Apidae
Bombus vosnesenskii,Apidae
bombus.lapidarius,NA
Bombus.lapidarius,NA
Bombus.lucorum,NA
Bombus.pascuorum,NA
Bombus.pratorum,NA
bombus.terrestris,NA
Bombus.terrestris,NA
Bombus_ hortorum,Apidae
Bombus_ hypnorum,Apidae
Bombus_ lapidarius,Apidae
Bombus_ pascuorum,Apidae
Bombus_ pratorum,Apidae
Bombus_ terrestris,Apidae
Bombus_ terrestris-complex,Apidae
Bombus_ terrestris/lucorum,Apidae
Bombus_hortorum,Apidae
Bombus_humilis,Apidae
Bombus_lapidarius,Apidae
Bombus_lucorum,Apidae
Bombus_lucorum/terrestris,Apidae
Bombus_pascuorum,Apidae
Bombus_pratorum,Apidae
Bombus_soroeensis,Apidae
Bombus_sp,Apidae
Bombus_subterraneus,Apidae
Bombus_sylvanum,Apidae
Bombus_terrestris,Apidae
Bombylidae,NA
Bombylidae sp,Bombylidae
Bomus terrestris,Apidae
Brachinus.crepitans,NA
Brachinus.explodens,NA
Brachycera (inc cyclorrhapha in OSR),Brachycera fam.
Brachycera spp.,Brachycera fam.
Brachygastra lecheguana,Vespidae
Brachygastra lecheguana,Apidae
Brachygastra lecheguana ,Apidae
Brachygastra lecheguana ,Vespidae
Braconidae_sp,Braconidae
Bracronidae sp1,Bracronidae
Bradysia sp.,Sciaridae
Braunsapis sp.1,Apidae
Braunsapsis picitarsis,Apidae
Brephidium exile,Lycaenidae
Bruchidius_sp__1,Chrysomelidae
Bruchidius_sp__2,Chrysomelidae
Bruchidius_sp__near_mendosus__Gyllenhal_,Chrysomelidae
butterfly,NA
Butterfly,Lepidoptera (order)
Byasa alcinous,Papilionidae
Caliophoridae sp.,Caliophoridae
Caliophoridae_sp1,Caliophoridae
Caliophoridae_sp2,Caliophoridae
Caliophoridae_sp3,Caliophoridae
Caliophoridae_spx,Caliophoridae
Calliphora sp.,Calliphoridae
Calliphoridae sp 1,Calliphoridae
Calliphoridae sp 2,Calliphoridae
Calliphoridae sp.1,Calliphoridae
Camponotus japonicus,Formicidae
Camponotus obscuripes,Formicidae
Camponotus sp.,Formicidae
Camponotus sp. ,Formicidae
Camponotus_sp_1__,Formicidae
Campsomeriella annulata,Scoliidae
Cantharidae,NA
Carabus.auratus,NA
Carabus.auronitens,NA
Carabus.granulatus,NA
Carabus.monilis,NA
Carabus.nemoralis,NA
Carpophilus hemipterus,Nitidulidae
Carpophilus sp.,Nitidulidae
Carpophilus sp. ,Nitidulidae
Catopsilia pyranthe (Mottled Emigrant),Pieridae
Centris  byrsonimae ,Apidae
Centris (Centris) aenea,Apidae
Centris (Centris) decolorata,Apidae
Centris (Centris) flavifrons,Apidae
Centris (Hemisiela)tarsata,Apidae
Centris aenea,Apidae
Centris aff. sponsa,Apidae
Centris analis,Apidae
Centris byrsonimae,Apidae
Centris byrsonimae ,Apidae
Centris flavifrons,Apidae
Centris fuscata,Apidae
Centris sp,Apidae
Centris spilopoda,Apidae
Centris sponsa,Apidae
Centris tarsata,Apidae
Cerambycidae,Cerambicidae
Cerambycidae,Cerambycidae
Ceratina,Apidae
Ceratina (Calloceratina) chloris,Apidae
Ceratina (Crewella) sp. 1,Apidae
Ceratina (Crewella) sp. 2,Apidae
Ceratina acantha,Apidae
Ceratina calcarata,Apidae
Ceratina calcarata ,Apidae
Ceratina cucurbitina,Apidae
Ceratina dupla,Apidae
Ceratina hieroglyphica,Apidae
Ceratina japonica,Apidae
Ceratina mikmaqi,Apidae
Ceratina nigrolabiata,Apidae
Ceratina okinawana,Apidae
Ceratina shinnersi,Apidae
Ceratina smaragdula,Apidae
Ceratina sp,Apidae
Ceratina sp. (Ceratina lunata Friese or Ceratina moerenhouti Vachal),Apidae
Ceratina sp. 1,Apidae
Ceratina sp1,Apidae
Ceratina strenua,Apidae
Ceratina.sp...inc._labrosa_Friese.,Apidae
Ceratina.sp...inc._labrosa_Friese.,Caliophoridae
Ceratina_sp1,Apidae
Ceratina_sp2,Apidae
Ceratitis capitata,Tephritidae
Ceratitis sp.1,Tephritidae
Cerceris japonica,Philanthidae
Cerceris rybyensis ,Crabronidae
Cerceris sp.,Philanthidae
Cetonia roelofsi,Scarabaeidae
Cetoniinae,Scarabaeidae
Chalcididae sp.1,Chalcididae
Chalcididae sp2,Chalcididae
Chalcidoidea_sp_,Chaldidoidea
Chalicodoma sculpturalis,Megachilidae
Cheilosia cf. vernalis,Syrphidae
Cheilosia pagana,Syrphidae
Cheilosia sp. 1,Syrphidae
Cheilosia sp. 2,Syrphidae
Cheilosia vernalis,Syrphidae
Cheilosia_vernalis,Syrphidae
Chelastoma rapunculi,Megachilidae
Chloromyia formosa,Stratiomyidae
Chloromyia formosa,NA
Chrysidae,Chrysididae
Chrysididae sp 1,Chrysididae
Chrysididae sp. 1,Chrysididae
Chrysolina exanthematica,Chrysomelidae
Chrysomelidae,Chrysomelidae
Chrysomya pinguis,Calliphoridae
Chrysomya sp,Calliphoridae
Chrysomya_marginalis__Wiedemann_,Calliphoridae
Chrysopidae spp.,Chrysopidae
Chrysops varians,Tabanidae
Chrysotoxum cautum,Syrphidae
Chrysotoxum cautum,NA
Chrysotoxum festivum,Syrphidae
Click beetle,Elateridae 
Clivina.collaris,NA
Clivina.fossor,NA
Clytus arietus ,Cerambycidae
Coccinelidae,NA
Coccinella septempunctata,Coccinellidae
Coccinella sp 1,Coccinellidae
Coccinella sp 2,Coccinellidae
Coccinellidae,NA
Coccinellidae sp,Coccinellidae
Coelioxys hiroba,Megachilidae
Coelioxys slossoni,Megachilidae
Coleoptera,Coleoptera
Coleoptera,NA
Coleoptera 1,NA
Coleoptera 2,NA
Coleoptera 3,NA
Coleoptera sp 1,Unknown
Coleoptera sp1,ni
Coleoptera sp1,NA
Coleoptera sp5,ni
Coleoptera unknown or unidentified,Coleoptera fam.
Coleoptera_sp.1,NA
Coleoptera_sp.2,NA
Coleoptera_sp.3,NA
Colletes,Colletidae
Colletes daviesanus,Colletidae
Colletes daviesanus,NA
Colletes esakii,Colletidae
Colletes inaequalis,Colletidae
Colletes mandibularis,Andrenidae
Colletes patellatus,Colletidae
Colletes vogti,Colletidae
Colletes.cunicularius,NA
Common Cyclorrhapha Diptera found in OSR fields,Cyclorrhapha fam.
Crabronidae sp1,Crabronidae
Crabronidae sp2,Crabronidae
Crane flies,Tipulidae
Cratocentrus  sp,Chalcididae
Cricket/Grasshopper,Orthoptera
Curculionidae,Curculionidae
Curculionidae sp 1,Curculionidae
Curculionidae sp 2,Curculionidae
Curcumelidae,Curcumelidae
Curvinomia strigata (Nomia iridiscens),Apidae
Cyclocephala atricapilla,Scarabaeidae
Cyclocephala vestita ,Scarabaeidae
Cyclorrhapha,Cyclorrhapha fam.
Cynthia cardui,Nymphalidae
Danaus plexippus,Nymphalidae
Dasysyrphus_ albostriatus,Syrphidae
Dasysyrphus_hilaris,Syrphidae
Decaria sp.,CHRYSOMELIDAE: GALERUCINAE
Decaria sp.,ni
Delia platura,Anthomyiidae
Delta unguiculatus,Syrphidae
Demetrias.atricapillus,NA
Dermestidae,Dermestidae
Diabrotica undecimpunctata,Chrysomelidae
Diadasia bituberculata,Anthophoridae
Diadasia diminuta,Apidae
Dialictus af. opacus,Halictidae
Dialictus sp.1,Halictidae
Dianthidium suburfulum,Megachilidae
Dieunomia heteropoda,Halictidae
Dioprosopa clavata,Syrphidae
Dioxyna sororcula,Tephritidae
Diptera,Diptera
Diptera-Fly,NA
Diptera (ep14),NA
Diptera sp 1,Unknown
Diptera sp 2,Unknown
Diptera sp 3,Unknown
Diptera sp 4,Unknown
Diptera sp 5,Unknown
Diptera sp 6,Unknown
Diptera sp 7,Unknown
Diptera sp 8,Unknown
Diptera sp 9,Unknown
Diptera sp.3,NA
Diptera sp.4,NA
Diptera sp1,ni
Diptera sp1,NA
Diptera spp.,NA
Diptera spX,ni
Diptera unknown or unidentified,Diptera fam.
Diptera_spY.size.1,ni
Diptera_spZ.size.1,ni
Diptera1,NA
Diptera2,NA
Diptera3,NA
Diptera4,NA
Diptero 1,NA
Diptero 2,NA
Diptero 3,NA
Diptero 4,NA
Diptero 5,NA
Diptero 6,NA
Doclichopodidae,Dolichopodidae
Dolerus similis ,Tenthredinidae
Dolichopodidae,Dolichopodidae
Efferia sp.1,Asildae
Eichoichemus sp.,Asildae
Elateridae,Elateridae
Empididae sp1,Empididae
Empididae sp2,Empididae
Empididea spp,Empididae
Empis_sp,Empididae
Epeolus japonicus,Apidae
Episrphus balteatus,Syrphidae
Epistorophe aino,Syrphidae
Epistorophe shibakawae,Syrphidae
Epistrophe.flava,NA
Epistrophe_ nitidicollis,Syrphidae
Epistrophe_eligans,Syrphidae
Episyrhpus balteatus,Syrphidae
Episyrphus balteatus,Syrphidae
Episyrphus balteatus,NA
Episyrphus cretensis,Syrphidae
episyrphus.balteatus,NA
Episyrphus_ balteatus,Syrphidae
Episyrphus_balteatus,Syrphidae
Eriozona erratica,Syrphidae
Eristalinae sp,Syrphidae
Eristalinus (Lathyrophthalmus) quinquestriata,Syrphidae
Eristalinus (Lathyrophthalmus) quinquestriatus,Syrphidae
Eristalinus (Lathyrophthalmus) tarsalis,Syrphidae
Eristalinus aeneus,Syrphidae
Eristalinus sepulchralis,Syrphidae
Eristalinus sp,Syrphidae
Eristalinus taeniops,Syrphidae
Eristalis,Syrphidae
Eristalis (Eoeristaris) cerealis,Syrphidae
Eristalis abusiva,Syrphidae
Eristalis anthophorina,Syrphidae
Eristalis arbustorum,Syrphidae
Eristalis cerealis,Syrphidae
Eristalis interrupta,Syrphidae
Eristalis intricarius,Syrphidae
Eristalis lineata,Syrphidae
Eristalis pertinax,Syrphidae
Eristalis similis,Syrphidae
Eristalis sp.,Syrphidae
Eristalis sp1,Syrphidae
Eristalis sp2,Syrphidae
Eristalis sp3,Syrphidae
Eristalis sp4,Syrphidae
Eristalis tenax,Syrphidae
Eristalis.pertinax,NA
eristalis.sp,NA
Eristalis.spec.,NA
Eristalis_ arbustorum,Syrphidae
Eristalis_ horticola,Syrphidae
Eristalis_ intricaria,Syrphidae
Eristalis_ nemorum,Syrphidae
Eristalis_ pertinax,Syrphidae
Eristalis_ similis,Syrphidae
Eristalis_ spec.,Syrphidae
Eristalis_ tenax,Syrphidae
Eristalis_arbustorum,Syrphidae
Eristalis_interrupta,Syrphidae
Eristalis_tenax,Syrphidae
Erythrocera genalis,Tachinidae
Eucera chinensis,Apidae
Eucera clypeata,Apidae
Eucera sp1,Apidae
Eucoilidae sp1,EUCOILIDAE
Eudalaca exul cf,Hepialidae
Euglossa sp.,Apidae
Eulaema nigrita,Apidae
Eumenes sp,Vespidae
Eumenine,Vespidae
Eumerus funeralis,Syrphidae
Eumerus obliquus,Syrphidae
Eumerus obliquus,SYRPHIDAE
Eumerus sogdianus,Syrphidae
Eumerus sp ,Syrphidae
Eumerus strigatus,Syrphidae
Eumerus strigatus,NA
Eupeodes,Syrphidae
Eupeodes corollae,Syrphidae
Eupeodes corollae,NA
Eupeodes lapponicus,Syrphidae
Eupeodes latifasciatus,Syrphidae
Eupeodes luniger,Syrphidae
Eupeodes nielseni,Syrphidae
Eupeodes sp.,Syrphidae
Eupeodes.latifasciatus,NA
Eupeodes_ cf. corollae,Syrphidae
Eupeodes_ lapponicus,Syrphidae
Eupeodes_ luniger,Syrphidae
Eupeodes_ spec.,Syrphidae
Eupeodes_corollae,Syrphidae
Eupeodus corollae,Syrphidae
Eupeodus sp.,Syrphidae
Euploea core (Common Indian crow),Nymphalidae
Eurema lisa,Pieridae
Exochomus_troberti_Mulsant_1850,Coccinellidae
Exomalopsis analis,Apidae
Exomalopsis cf. lugens,Apidae
Exomalopsis cfr. iridipennis ,Apidae
Exorista (Podotachin) sorbillans,Tachinidae
Fannia spp.,Fanniidae
Fanniidae? Sp.2,Fanniidae
Flesh flies,Sacrophagidae
flower_fly,NA
fly,Diptera
Fly,Diptera (order)
Formica japonica,Formicidae
Formicidae,Formicidae
Formicidae,NA
Formicidae sp 1,Formicidae
Formicidae sp 2,Formicidae
Formicidae.sp...Black.size.3..monomorium.cf..,Formicidae
Formicidae_sp2__bunduda_,Formicidae
Gametis jucunda,Scarabaeidae
Gastropoda,NA
gen_sp,Apidae
gen_sp,Syrphidae
Geotrigona sp1. ,Apidae
Geotrigona subterranea,Apidae
Gonopteryx_rhamni,Pieridae
green_leaf_beetle_pest_insect,NA
Ground beetle,Carabidae
Halictidae 1,Halictidae
Halictidae 2,Halictidae
Halictidae 3,Halictidae
Halictidae sp.1,Halictidae
Halictinae sp.,Halictidae
Halictini,Halictidae
Halictus,Halictidae
Halictus aerarius,Halictidae
Halictus brunnescens,Halictidae
Halictus calceatus,Halictidae
Halictus confusus,Halictidae
Halictus ligatus,Halictidae
Halictus quadricinctus,Halictidae
Halictus rubicundis,Halictidae
Halictus rubicundus,Halictidae
Halictus sajoi,Halictidae
Halictus scabiosae,Halictidae
Halictus sexcinctus,Halictidae
Halictus simplex-complex,Halictidae
Halictus sp.,Halictidae
Halictus sp. 1,Halictidae
Halictus sp. 6f,Halictidae
Halictus sp.1,Halictidae
Halictus sp1,Halictidae
Halictus sp2,Halictidae
Halictus subauratus,Halictidae
Halictus tripartitus,Halictidae
Halictus tsingtouensis,Halictidae
Halictus tumolorum,Halictidae
Halictus tumulorum,Halictidae
Halictus tumulorum,NA
Halictus vestitus,Halictidae
Halictus.maculatus,NA
Halictus.tumulorum,NA
Halictus/Lasioglossum_ spec.,Syrphidae
Haptoncus ochraceus,Nitidulidae
Haptoncus ochraceus ,Nitidulidae
Harmonia_axyridis_I_158,Coccinellidae
Harpalus.affinis,NA
Harpalus.dimidiatus,NA
Harpalus.distinguendus,NA
Harpalus.rubripes,NA
Harpalus.rufipes,NA
Harpalus.signaticornis,NA
Helophilus,Syrphidae
Helophilus hybridus,Syrphidae
Helophilus pendulus,Syrphidae
Helophilus trivittatus,Syrphidae
Helophilus_ pendulus,Syrphidae
Helophilus_ spec.,Syrphidae
Helophilus_ trivittatus,Syrphidae
Helophilus_hybridus,Syrphidae
Helophilus_pendulus,Syrphidae
Hemipenthes sp. ,Bombyliidae
Hemiptera,Hemiptera
Hemiptera sp.6,NA
Hemiptera unknown or unidentified,Hemiptera fam.
Heringia_ vitripennis,Syrphidae
Hermetia  illucens ,Sarcophagidae
Hesperidae sp2,Hesperidae
Heteropt,NA
Heteroptera sp.,ni
Heteroptera sp1,ni
Heteroptera_10_mm_sp1,ni
Heteroptera_2mm,ni
Heteroptera_5mm,ni
heteroptera_sp3,ni
Hippodamia.variegata..Goeze.,Coccinellidae
Homalictus damperia,Halictidae
honey_bee,NA
Hoplitis claviventris,NA
Hoplitis pilosofrons,Megachilidae
Hoplitis producta,Megachilidae
Hoplitis simplex,Megachilidae
Hoplitis sp ,Megachilidae
Hoplitis spoliata,Megachilidae
Hormiga,NA
Hoverfly,Syrphidae
Hoverfly A,Syrphidae
Hoverfly unknown or unidentified,Syrphidae
Hylaeus,Colletidae
Hylaeus affinis,Colletidae
Hylaeus annulatus,Colletidae
Hylaeus cornutus,Colletidae
Hylaeus episcopallis,Colletidae
Hylaeus floralis,Colletidae
Hylaeus hyalinatus,Hylaeinae
Hylaeus mesillae,Colletidae
Hylaeus modestus,Colletidae
Hylaeus nippon,Colletidae
Hylaeus punctulatissimus,Colletidae
Hylaeus rudbeckiae,Colletidae
Hylaeus sp,Colletidae
Hylaeus sp.,Colletidae
Hylaeus sp. 1,Colletidae
Hymenoptera,NA
Hymenoptera sp,NA
Hymenoptera sp 1,Unknown
Hymenoptera sp 2,Unknown
Hymenoptera sp 3,Unknown
Hymenoptera sp 4,Unknown
Hymenoptera sp 5,Unknown
Hymenoptera sp 6,Unknown
Hymenoptera sp 7,Unknown
Hymenoptera sp 8,Unknown
Hymenoptera_Nonbee_Aculeata,NA
Hypolimnas misippus,Nymphalidae
Hypotrigona sp. 1,Apidae
Ichneumonidae sp.2,Ichneumonidae
Ichneumonidea,Ichneumonidae
Ichneumonoidae sp 1,Ichneumonidae
Ischiodon aegyptius,SYRPHIDAE
Isoconia_haematopota_cf,Tephritidae
Junonia hierta,Nymphalidae
Junonia iphita (Chocolate pansy),Nymphalidae
Junonia oenone ,Nymphalidae
Ladybird sp1,Coccinellidae
Ladybird sp2,Coccinellidae
Ladybird sp3,Coccinellidae
