Organism_ID,Family,Guild
Ancyloscelis apiformes,Apidae,NA
Ancyloscelis apiformis,Apidae,NA
Ancyloscelis sp.2,NA,NA
Ancyloscelis sp1.,NA,NA
Andrena,Andrenidae,NA
Andrena agilissima,Andrenidae,NA
Andrena albopunctata,Andrenidae,NA
Andrena algida,Andrenidae,NA
Andrena allegheniensis,Andrenidae,NA
Andrena angustior,Andrenidae,NA
Andrena atypica,NA,NA
Andrena barbilabris,Andrenidae,NA
Andrena bicolor,Andrenidae,NA
Andrena bimaculata,Andrenidae,NA
Andrena bucephala,Andrenidae,NA
Andrena canadensis,Andrenidae,NA
Andrena carantonica,NA,NA
Andrena carantonica,Andrenidae,NA
Andrena carantonica,Apidae,NA
Andrena carlini,Andrenidae,NA
Andrena ceanothi,Andrenidae,NA
Andrena cerasifolii,NA,NA
Andrena cf. limata,Andrenidae,NA
Andrena chlorosoma,Andrenidae,NA
Andrena chrysosceles,Andrenidae,NA
Andrena chrysosceles,Apidae,NA
Andrena cineraria,NA,NA
Andrena cineraria,Andrenidae,NA
Andrena cineraria,Apidae,NA
Andrena commoda,Andrenidae,NA
Andrena crataegi,Andrenidae,NA
Andrena cressonii,Andrenidae,NA
Andrena decipiens,Andrenidae,NA
Andrena distans,Andrenidae,NA
Andrena dorsata,Andrenidae,NA
Andrena dunningi,Andrenidae,NA
Andrena erigeniae,Andrenidae,NA
Andrena erythrogaster,Andrenidae,NA
Andrena erythronii,Andrenidae,NA
Andrena fenningeri,Andrenidae,NA
Andrena flavipes,NA,NA
Andrena flavipes,Andrenidae,NA
Andrena florea,Andrenidae,NA
Andrena forbesii,Andrenidae,NA
Andrena frigida,Andrenidae,NA
Andrena fucata,Andrenidae,NA
Andrena fulva,NA,NA
Andrena fulva,Andrenidae,NA
Andrena gravida,Andrenidae,NA
Andrena gravida,Apidae,NA
Andrena haemorrhoa,Andrenidae,NA
Andrena haemorrhoa,NA,NA
Andrena haemorrhoa,Apidae,NA
Andrena hattorfiana,NA,NA
Andrena helvola,Andrenidae,NA
Andrena helvola,NA,NA
Andrena helvola,Apidae,NA
Andrena hikosana,Andrenidae,NA
Andrena hippotes,Andrenidae,NA
Andrena humilis,Andrenidae,NA
Andrena illini,Andrenidae,NA
Andrena imitatrix,Andrenidae,NA
Andrena integra,Andrenidae,NA
Andrena jacobi,Andrenidae,NA
Andrena kaguya,Andrenidae,NA
Andrena labialis,Andrenidae,NA
Andrena labiata,Andrenidae,NA
Andrena lapponica,Apidae,NA
Andrena lepida,Andrenidae,NA
Andrena luridiloma,Andrenidae,NA
Andrena mandibularis,Andrenidae,NA
Andrena mariae,Andrenidae,NA
Andrena melanochroa,Andrenidae,NA
Andrena milwaukeensis,Andrenidae,NA
Andrena minutula,Andrenidae,NA
Andrena minutuloides,Andrenidae,NA
Andrena miserabilis,Andrenidae,NA
Andrena mitis,Andrenidae,NA
Andrena mucida,Andrenidae,NA
Andrena nasonii,Andrenidae,NA
Andrena nigrae,Andrenidae,NA
Andrena nigroaenea,Andrenidae,NA
Andrena nigroaenea,NA,NA
Andrena nigroaenea,Apidae,NA
Andrena nigrocaerulea,Andrenidae,NA
Andrena nitida,Andrenidae,NA
Andrena nitida,Apidae,NA
Andrena nivalis,Andrenidae,NA
Andrena ovatula,Andrenidae,NA
Andrena perplexa,Andrenidae,NA
Andrena personata,Andrenidae,NA
Andrena pilipes,Andrenidae,NA
Andrena pruni,Andrenidae,NA
Andrena regularis,Andrenidae,NA
Andrena robertsonii,Andrenidae,NA
Andrena rosae,Andrenidae,NA
Andrena rufosignata,Andrenidae,NA
Andrena rugosa,Andrenidae,NA
Andrena semilaevis,Andrenidae,NA
Andrena sigmundi,Andrenidae,NA
Andrena sp,Andrenidae,NA
Andrena sp.,Andrenidae,NA
Andrena sp. 4,Andrenidae,NA
Andrena sp1,Andrenidae,NA
Andrena ssp.,NA,NA
Andrena subopaca,Andrenidae,NA
Andrena subopaca,NA,NA
Andrena subopaca,Apidae,NA
Andrena synadelpha,Andrenidae,NA
Andrena taraxaci,Andrenidae,NA
Andrena thoracica,Andrenidae,NA
Andrena tibialis,Andrenidae,NA
Andrena tridens,Andrenidae,NA
Andrena trimmerana,Andrenidae,NA
Andrena tumulorum,Andrenidae,NA
Andrena vaga,Andrenidae,NA
Andrena variabilis,Andrenidae,NA
Andrena varians,Andrenidae,NA
Andrena vicina,Andrenidae,NA
Andrena vitiosa,Andrenidae,NA
Andrena w-scripta,Andrenidae,NA
Andrena wilkella,Andrenidae,NA
Andrena zizae,Andrenidae,NA
Andrena.barbilabris,NA,NA
Andrena.bicolor,NA,NA
Andrena.carantonica,NA,NA
Andrena.cineraria,NA,NA
Andrena.dorsata,NA,NA
Andrena.flavipes,NA,NA
Andrena.fulvata,NA,NA
Andrena.gravida,NA,NA
Andrena.haemorrhoa,NA,NA
Andrena.helvola,NA,NA
Andrena.humilis,NA,NA
Andrena.minutula,NA,NA
Andrena.minutuloides,NA,NA
Andrena.nitida,NA,NA
Andrena.subopaca,NA,NA
Andrena_ bicolor,Andrenidae,NA
Andrena_ bimaculata,Andrenidae,NA
Andrena_ carantonica,Andrenidae,NA
Andrena_ cf. fulva,Andrenidae,NA
Andrena_ cf. minutula,Andrenidae,NA
Andrena_ chrysosceles,Andrenidae,NA
Andrena_ cineraria,Andrenidae,NA
Andrena_ dorsata,Andrenidae,NA
Andrena_ flavipes,Andrenidae,NA
Andrena_ fulva,Andrenidae,NA
Andrena_ haemorrhoa,Andrenidae,NA
Andrena_ helvola,Andrenidae,NA
Andrena_ minutula-groep,Andrenidae,NA
Andrena_ nitida,Andrenidae,NA
Andrena_ varians,Andrenidae,NA
Andrena_2_brittaindataset,NA,NA
Andrena_3_brittaindataset,NA,NA
Andrena_4_brittaindataset,NA,NA
Andrena_angustior,NA,NA
Andrena_barbilabris,NA,NA
Andrena_bicolor,NA,NA
Andrena_carantonica,NA,NA
Andrena_chrysosceles,NA,NA
Andrena_cineraria,Andrenidae,NA
Andrena_cineraria,Apidae,NA
Andrena_cineraria,NA,NA
Andrena_distinguenda,NA,NA
Andrena_dorsata,NA,NA
Andrena_flavipes,NA,NA
Andrena_fucata,NA,NA
Andrena_fulva,NA,NA
Andrena_gelriae,NA,NA
Andrena_gravida,NA,NA
Andrena_haemorrhoa,NA,NA
Andrena_helvola,NA,NA
Andrena_labialis,Apidae,NA
Andrena_labiata,NA,NA
Andrena_lagopus,NA,NA
Andrena_minutula_aggregate,NA,NA
Andrena_nigroaenea,NA,NA
Andrena_nigrospina,NA,NA
Andrena_nitida,NA,NA
Andrena_praecox,NA,NA
Andrena_sp.,NA,NA
Andrena_subopaca,NA,NA
Andrena_tibialis,NA,NA
Andrena_wilkella,Apidae,NA
Andrenidae,Andrenidae,NA
Anisodactylus.binotatus,NA,NA
Anisodactylus.signatus,NA,NA
Anoplius nigerrimus,Andrenidae,NA
Anoplolepis_sp_1_,Formicidae,NA
Anoplolepis_sp_1_,NA,NA
Anoplolepis_sp_2_,Formicidae,NA
Anoplolepis_sp_2_,NA,NA
ant,NA,NA
Ant,Formicidae,NA
Ant,NA,NA
Anterhynchium flavomarginatum,Vespidae,NA
Anthidium manicatum,Megachilidae,NA
Anthidium septemspinosum,Megachilidae,NA
Anthidium sp.,NA,NA
Anthomyia_punctipennis,NA,NA
Anthomyiidae_sp.,NA,NA
Anthophora plumipes,Apidae,NA
Anthophora quadrimaculata,Apidae,NA
Anthophora sp.,NA,NA
Anthophora.plumipes,NA,NA
Anthophora_ plumipes,Apidae,NA
Anthophora_5,NA,NA
Anthophora_plumipes,NA,NA
Anthrenoides sp.,NA,NA
Ants: Formica rufa,Formicidae,NA
Aphididae,NA,NA
Aphids,NA,NA
Apionidae_sp1,Apionidae,NA
Apionidae_sp1,NA,NA
Apis cerana,Apidae,NA
Apis cerana,NA,NA
Apis cerana indica,Apidae,NA
Apis dorsata,Apidae,NA
Apis florea,Apidae,NA
Apis melifera,Apidae,NA
Apis mellifera,Apidae,NA
Apis mellifera,NA,NA
Apis mellifera L.,Apidae,NA
"Apis mellifera Linnaeus, 1758",Apidae,NA
apis.mellifera,NA,NA
Apis.mellifera,NA,NA
Apis_ mellifera,Apidae,NA
Apis_cerana,Apidae,NA
Apis_cerana,NA,NA
Apis_dorsata,Apidae,NA
Apis_dorsata,NA,NA
Apis_florea,NA,NA
Apis_mellifera,Apidae,NA
Apis_mellifera,NA,NA
Apoica pallens,Vespidae,NA
Apoidea,Apoidea,NA
Apoidea sp 1,Apoidea,NA
Apoidea sp.1,Apidae,NA
Apoidea_largerthanHoneybee,NA,NA
Apoidea_sizeequalsHoneybee,NA,NA
Apoidea_smallerthanHoneybee,NA,NA
Apoidea_sp,NA,NA
Araneae,NA,NA
Arctiidae sp 1,Arctiidae,NA
Arge nipponensis,Argidae,NA
Arge_nipponensis_Rohwer_1910,NA,NA
Asaphdion.flavipes,NA,NA
Asilidae,Asildae,NA
Astylus atromaculatus Blanchard *,Melyridae,NA
Astylus_atromaculatus_Blanchard,NA,NA
Athalia infumata,Tenthredinidae,NA
Athalia rosae,Tenthredinidae,NA
Athalia rosae ruficornis,Tenthredinidae,NA
Athalia_infumata_Marlatt_1898,NA,NA
Athalia_rosae_ruficornis_Jakovrev_1888,NA,NA
Atylotus hasegawai,Tabanidae,NA
Augochlora pura,Halictidae,NA
Augochlora pura,NA,NA
Augochlora sp.,NA,NA
Augochlora sp1.,NA,NA
Augochlora sp10.,NA,NA
Augochlora sp11.,NA,NA
Augochlora sp12.,NA,NA
Augochlora sp13.,NA,NA
Augochlora sp2.,NA,NA
Augochlora sp3.,NA,NA
Augochlora sp4.,NA,NA
Augochlora sp5.,NA,NA
Augochlora sp6.,NA,NA
Augochlora sp7.,NA,NA
Augochlora sp8.,NA,NA
Augochlora sp9.,NA,NA
Augochlora_sp.,NA,NA
Augochlorella,Halictidae,NA
Augochlorella aurata,Halictidae,NA
Augochlorella bracteata,Halictidae,NA
Augochlorella pura,Halictidae,NA
Augochloropsis metallica,Halictidae,NA
Augochloropsis sp.,Halictidae,NA
Augochloropsis sp.,NA,NA
Augochloropsis sp.1,Halictidae,NA
Aulacophora indica,Chrysomelidae,NA
Aulacophora nigripennis,Chrysomelidae,NA
Austalis resolutus,Syrphidae,NA
Avispa marron,NA,NA
Avispa negra,NA,NA
Avispa negra copada,NA,NA
Avispa pequeña,NA,NA
Avispa rayada,NA,NA
B. hortorum,Apidae,NA
B. hypnorum,Apidae,NA
B. lapidarius,Apidae,NA
B. pascuorum,Apidae,NA
B. pratorum,Apidae,NA
B. terrestris,Apidae,NA
B_lapidarius,Apidae,NA
B_lucorum,Apidae,NA
B_terrestris,Apidae,NA
Badister.bullatus,NA,NA
"Baris cf. atrocoerulea (Boheman, 1844)",Curculionidae,NA
Baris_cfatrocoerulea_Boheman_1844,NA,NA
Bee sp.,Apoidae,NA
Bee sp. 2,Apoidae,NA
Bee sp. 3,Apoidae,NA
beetle,NA,NA
Beetle,Coleoptera (order),NA
Beetle,NA,NA
Belanogaster_sp_,Vespidae,NA
Belanogaster_sp_,NA,NA
Belenois thysa,Pieridae,NA
Bembidion.lampros,NA,NA
Bembidion.obtusum,NA,NA
Bembidion.properans,NA,NA
Bembidion.quadrimaculatum,NA,NA
Bembidion.tetracolum,NA,NA
Bembix rostrata,Crabronidae,NA
Bembix sp. 1,Crabronidae,NA
Betassyrphus adligatus,Syrphidae,NA
Betasyrphus adliagatus,Syrphidae,NA
Betasyrphus seriarius,Syrphidae,NA
Bibio spp. (st Marks fly),Bibionidae,NA
Bibionidae,NA,NA
Bibionidae sp.,Bibionidae,NA
Bibionidae sp.1,Bibionidae,NA
Bibionidae_sp.,NA,NA
Bibo_hortulans,NA,NA
Bibo_marci,NA,NA
Bibo_varipes,NA,NA
Bird,NA,NA
Boettcherisca peregrina,Sarcophagidae,NA
Boettcherisca_peregrina,NA,NA
Bombilidae,NA,NA
Bombini,Apidae,NA
Bombus,Apidae,NA
Bombus  cf. brevivillus,Apidae,NA
"Bombus (Fervidobombus) morio Swederus, 1787",Apidae,NA
Bombus atratus,Apidae,NA
Bombus auricomus,Apidae,NA
Bombus barbutellus,Apidae,NA
Bombus belicoso,Apidae,NA
Bombus bimaculatus,Apidae,NA
Bombus bohemicus,Apidae,NA
Bombus bohemicus,NA,NA
Bombus brevivillus,Apidae,NA
Bombus californicus,Apidae,NA
Bombus campestris,Apidae,NA
Bombus campestris,NA,NA
Bombus dahlbomii,Apidae,NA
Bombus distinguendus,Apidae,NA
Bombus fervidus,Apidae,NA
Bombus hortorum,Apidae,NA
Bombus hortorum,NA,NA
Bombus humilis,Apidae,NA
Bombus hypnorum,Apidae,NA
Bombus hypnorum,NA,NA
Bombus impatiens,Apidae,NA
Bombus impatiens,NA,NA
Bombus jonellus,NA,NA
Bombus jonellus,Apidae,NA
Bombus lapidarius,Apidae,NA
Bombus lapidarius,NA,NA
Bombus lucorum,Apidae,NA
Bombus lucorum,NA,NA
Bombus magnus,Apidae,NA
Bombus melanopygus,Apidae,NA
Bombus melanopygus,NA,NA
Bombus morio,Apidae,NA
Bombus muscorum,Apidae,NA
Bombus muscorum,NA,NA
Bombus negro,Apidae,NA
Bombus pascuorum,Apidae,NA
Bombus pascuorum,pascuorum,NA
Bombus pascuorum,NA,NA
Bombus pensylvanicus,Apidae,NA
Bombus pratensis,Apidae,NA
Bombus pratorum,Apidae,NA
Bombus pratorum,NA,NA
Bombus ruderarius,Apidae,NA
Bombus ruderarius,NA,NA
Bombus rudurarius,Apidae,NA
Bombus rufocinctus,Apidae,NA
Bombus rupestris,Apidae,NA
Bombus rupestris,NA,NA
Bombus soroeensis,Apidae,NA
Bombus soroeensis,NA,NA
Bombus sp,Apidae,NA
Bombus sp.,Apidae,NA
Bombus spp,Apidae,NA
Bombus spp. unknown or unidentified,Apidae,NA
Bombus subterraneus,Apidae,NA
Bombus subterraneus,NA,NA
Bombus sylvarum,Apidae,NA
Bombus sylvarum,NA,NA
Bombus sylvestris,Apidae,NA
Bombus terrestris,Apidae,NA
Bombus terrestris,NA,NA
Bombus terrestris-complex,Apidae,NA
Bombus terrestris or lucorum,Apidae,NA
Bombus terrestris/lucorum,Apidae,NA
Bombus vagans,Apidae,NA
Bombus vestalis,NA,NA
Bombus vestalis,Apidae,NA
Bombus vosnesenskii,Apidae,NA
Bombus vosnesenskii,NA,NA
bombus.lapidarius,NA,NA
Bombus.lapidarius,NA,NA
Bombus.lucorum,NA,NA
Bombus.pascuorum,NA,NA
Bombus.pratorum,NA,NA
bombus.terrestris,NA,NA
Bombus.terrestris,NA,NA
Bombus_ hortorum,Apidae,NA
Bombus_ hypnorum,Apidae,NA
Bombus_ lapidarius,Apidae,NA
Bombus_ pascuorum,Apidae,NA
Bombus_ pratorum,Apidae,NA
Bombus_ terrestris,Apidae,NA
Bombus_ terrestris-complex,Apidae,NA
Bombus_ terrestris/lucorum,Apidae,NA
Bombus_6,NA,NA
Bombus_7,NA,NA
Bombus_abuterraneus,NA,NA
Bombus_hortorum,Apidae,NA
Bombus_hortorum,NA,NA
Bombus_humilis,Apidae,NA
Bombus_hypnorum,NA,NA
Bombus_jonellus,NA,NA
Bombus_lapidarius,Apidae,NA
Bombus_lapidarius,NA,NA
Bombus_lucorum,Apidae,NA
Bombus_lucorum,NA,NA
Bombus_lucorum/terrestris,Apidae,NA
Bombus_lucorum_terrestris,NA,NA
Bombus_pascuorum,Apidae,NA
Bombus_pascuorum,NA,NA
Bombus_pratorum,Apidae,NA
Bombus_pratorum,NA,NA
Bombus_ruderarius,NA,NA
Bombus_ruderatus,NA,NA
Bombus_rupestris,NA,NA
Bombus_soroeensis,Apidae,NA
Bombus_sp,Apidae,NA
Bombus_spp.,NA,NA
Bombus_subterraneus,Apidae,NA
Bombus_sylvanum,Apidae,NA
Bombus_sylvarum,NA,NA
Bombus_terrestris,Apidae,NA
Bombus_terrestris,NA,NA
Bombus_terrestris_aggregate,NA,NA
Bombus_vestalis,NA,NA
Bombylidae,NA,NA
Bombylidae sp,Bombylidae,NA
Bomus terrestris,Apidae,NA
Brachinus.crepitans,NA,NA
Brachinus.explodens,NA,NA
Brachycera (inc cyclorrhapha in OSR),Brachycera fam.,NA
Brachycera spp.,Brachycera fam.,NA
Brachygastra lecheguana,Vespidae,NA
Brachygastra lecheguana,Apidae,NA
Braconidae_sp,Braconidae,NA
Braconidae_sp.,NA,NA
Bracronidae sp1,Bracronidae,NA
Bradysia sp.,Sciaridae,NA
Bradysia_sp.,NA,NA
Braunsapis sp.,NA,NA
Braunsapis sp.1,Apidae,NA
Braunsapis_picitarsus,NA,NA
Braunsapsis picitarsis,Apidae,NA
Brephidium exile,Lycaenidae,NA
Bruchidius_sp__1,Chrysomelidae,NA
Bruchidius_sp__1,NA,NA
Bruchidius_sp__2,Chrysomelidae,NA
Bruchidius_sp__2,NA,NA
Bruchidius_sp__near_mendosus__Gyllenhal_,Chrysomelidae,NA
Bruchidius_sp__near_mendosus__Gyllenhal_,NA,NA
butterfly,NA,NA
Butterfly,Lepidoptera (order),NA
Byasa alcinous,Papilionidae,NA
Caliophoridae sp.,Caliophoridae,NA
Caliophoridae_sp1,Caliophoridae,NA
Caliophoridae_sp2,Caliophoridae,NA
Caliophoridae_sp3,Caliophoridae,NA
Caliophoridae_spx,Caliophoridae,NA
Calliphora sp.,Calliphoridae,NA
Calliphora_hortona,NA,NA
Calliphora_quadrimaculata,NA,NA
Calliphora_stygia,NA,NA
Calliphora_vicina,NA,NA
Calliphoridae,NA,NA
Calliphoridae sp 1,Calliphoridae,NA
Calliphoridae sp 2,Calliphoridae,NA
Calliphoridae sp.1,Calliphoridae,NA
Calliphoridae_sp.,NA,NA
Calliphoridae_sp1_Carvalheirodataset,NA,NA
Calliphoridae_sp2_Carvalheirodataset,NA,NA
Calliphoridae_sp3_Carvalheirodataset,NA,NA
Calliphoridae_spx_Carvalheirodataset,NA,NA
Camponotus japonicus,Formicidae,NA
Camponotus obscuripes,Formicidae,NA
Camponotus sp.,Formicidae,NA
Camponotus_japonicus,NA,NA
Camponotus_obscuripes,NA,NA
Camponotus_sp.,NA,NA
Camponotus_sp.1,NA,NA
Camponotus_sp_1__,Formicidae,NA
Campsomeriella annulata,Scoliidae,NA
Campsomeriella_annulata,NA,NA
Camsomeris leafmasi,NA,NA
Camsomeris sp.,NA,NA
Cantharidae,NA,NA
Carabus.auratus,NA,NA
Carabus.auronitens,NA,NA
Carabus.granulatus,NA,NA
Carabus.monilis,NA,NA
Carabus.nemoralis,NA,NA
Carpophilus hemipterus,Nitidulidae,NA
Carpophilus sp.,Nitidulidae,NA
Carpophilus_hemipterus,NA,NA
Carpophilus_sp.,NA,NA
Catopsilia pyranthe (Mottled Emigrant),Pieridae,NA
catopsilia_pyranthe,NA,NA
Centris  byrsonimae,Apidae,NA
Centris (Centris) aenea,Apidae,NA
Centris (Centris) decolorata,Apidae,NA
Centris (Centris) flavifrons,Apidae,NA
Centris (Hemisiela)tarsata,Apidae,NA
Centris aenea,Apidae,NA
Centris aff. sponsa,Apidae,NA
Centris analis,Apidae,NA
Centris byrsonimae,Apidae,NA
Centris flavifrons,Apidae,NA
Centris fuscata,Apidae,NA
Centris sp,Apidae,NA
Centris spilopoda,Apidae,NA
Centris sponsa,Apidae,NA
Centris tarsata,Apidae,NA
Cerambycidae,Cerambicidae,NA
Cerambycidae,Cerambycidae,NA
Cerambycidae,NA,NA
Ceratina,Apidae,NA
Ceratina (Calloceratina) chloris,Apidae,NA
Ceratina (Crewella) sp. 1,Apidae,NA
Ceratina (Crewella) sp. 2,Apidae,NA
Ceratina 2,NA,NA
Ceratina acantha,Apidae,NA
Ceratina calcarata,Apidae,NA
Ceratina Crewella sp. 1,NA,NA
Ceratina Crewella sp. 2,NA,NA
Ceratina cucurbitina,Apidae,NA
Ceratina dupla,Apidae,NA
Ceratina hieroglyphica,Apidae,NA
Ceratina japonica,Apidae,NA
Ceratina mikmaqi,Apidae,NA
Ceratina nigrolabiata,Apidae,NA
Ceratina okinawana,Apidae,NA
Ceratina shinnersi,Apidae,NA
Ceratina smaragdula,Apidae,NA
Ceratina sp,Apidae,NA
Ceratina sp.,NA,NA
Ceratina sp. (Ceratina lunata Friese or Ceratina moerenhouti Vachal),Apidae,NA
Ceratina sp. 1,Apidae,NA
Ceratina sp1,Apidae,NA
Ceratina strenua,Apidae,NA
Ceratina.sp...inc._labrosa_Friese.,Apidae,NA
Ceratina.sp...inc._labrosa_Friese.,Caliophoridae,NA
Ceratina_hieroglyphica,NA,NA
Ceratina_sp_inc_labrosa_Friese_Carvalheirodataset,NA,NA
Ceratina_sp1,Apidae,NA
Ceratina_sp2,Apidae,NA
Ceratina_sp2,NA,NA
Ceratinidia cognata,NA,NA
Ceratinidia sp. 1,NA,NA
Ceratitis capitata,Tephritidae,NA
Ceratitis sp.1,Tephritidae,NA
Cerceris japonica,Philanthidae,NA
Cerceris rybyensis,Crabronidae,NA
Cerceris sp.,Philanthidae,NA
Cerceris_japonica,NA,NA
Cetonia roelofsi,Scarabaeidae,NA
Cetonia_roelofsi,NA,NA
Cetoniinae,Scarabaeidae,NA
Cetoniinae,NA,NA
Chalcididae sp.1,Chalcididae,NA
Chalcididae sp2,Chalcididae,NA
Chalcidoidea_sp,NA,NA
Chalcidoidea_sp_,Chaldidoidea,NA
Chalicodoma sculpturalis,Megachilidae,NA
Cheilosia cf. vernalis,Syrphidae,NA
Cheilosia pagana,Syrphidae,NA
Cheilosia sp. 1,Syrphidae,NA
Cheilosia sp. 2,Syrphidae,NA
Cheilosia vernalis,Syrphidae,NA
Cheilosia_bergenstammi,NA,NA
Cheilosia_pagana,NA,NA
Cheilosia_vernalis,Syrphidae,NA
Cheilosia_vernalis,NA,NA
Chelastoma rapunculi,Megachilidae,NA
Chironomidae_sp.,NA,NA
Chloromyia formosa,Stratiomyidae,NA
Chloromyia formosa,NA,NA
Chrysidae,Chrysididae,NA
Chrysidae,NA,NA
Chrysididae sp 1,Chrysididae,NA
Chrysididae sp. 1,Chrysididae,NA
Chrysolina exanthematica,Chrysomelidae,NA
Chrysomelidae,Chrysomelidae,NA
Chrysomelidae,NA,NA
Chrysomya pinguis,Calliphoridae,NA
Chrysomya sp,Calliphoridae,NA
Chrysomya_marginalis__Wiedemann_,Calliphoridae,NA
Chrysomya_marginalis__Wiedemann_,NA,NA
Chrysomya_pinguis,NA,NA
Chrysopidae spp.,Chrysopidae,NA
Chrysops varians,Tabanidae,NA
Chrysotoxum cautum,Syrphidae,NA
Chrysotoxum cautum,NA,NA
Chrysotoxum festivum,Syrphidae,NA
Chrysotoxum_cautum,NA,NA
Click beetle,Elateridae,NA
Clivina.collaris,NA,NA
Clivina.fossor,NA,NA
Clytus arietus,Cerambycidae,NA
Coccinelidae,NA,NA
Coccinella septempunctata,Coccinellidae,NA
Coccinella sp 1,Coccinellidae,NA
Coccinella sp 2,Coccinellidae,NA
Coccinella_septempunctata,NA,NA
Coccinella_sp.,NA,NA
Coccinella_undecimpunctata,NA,NA
Coccinellidae,NA,NA
Coccinellidae sp,Coccinellidae,NA
Coccinellidae_sp.,NA,NA
Coelioxys hiroba,Megachilidae,NA
Coelioxys slossoni,Megachilidae,NA
Coelioxys sp.,NA,NA
Coelioxys_hiroba,NA,NA
Coleoptera,Coleoptera,NA
Coleoptera,NA,NA
Coleoptera 1,NA,NA
Coleoptera 2,NA,NA
Coleoptera 3,NA,NA
Coleoptera sp 1,Unknown,NA
Coleoptera sp1,ni,NA
Coleoptera sp1,NA,NA
Coleoptera sp5,ni,NA
Coleoptera unknown or unidentified,Coleoptera fam.,NA
coleoptera.sp..1_smithadataset,NA,NA
Coleoptera_sp.,NA,NA
Coleoptera_sp.1,NA,NA
Coleoptera_sp.2,NA,NA
Coleoptera_sp.3,NA,NA
coleoptera_sp1_hipolitodataset,NA,NA
coleoptera_sp10_hipolitodataset,NA,NA
coleoptera_sp11_hipolitodataset,NA,NA
coleoptera_sp2_hipolitodataset,NA,NA
coleoptera_sp3_hipolitodataset,NA,NA
coleoptera_sp4_hipolitodataset,NA,NA
coleoptera_sp5_hipolitodataset,NA,NA
coleoptera_sp6_hipolitodataset,NA,NA
coleoptera_sp7_hipolitodataset,NA,NA
coleoptera_sp8_hipolitodataset,NA,NA
coleoptera_sp9_hipolitodataset,NA,NA
Colletes,Colletidae,NA
Colletes daviesanus,Colletidae,NA
Colletes daviesanus,NA,NA
Colletes esakii,Colletidae,NA
Colletes inaequalis,Colletidae,NA
Colletes mandibularis,Andrenidae,NA
Colletes patellatus,Colletidae,NA
Colletes vogti,Colletidae,NA
Colletes.cunicularius,NA,NA
Colletes_esakii,NA,NA
Colletes_patellatus,NA,NA
Common Cyclorrhapha Diptera found in OSR fields,Cyclorrhapha fam.,NA
Crabronidae sp1,Crabronidae,NA
Crabronidae sp2,Crabronidae,NA
Crane flies,Tipulidae,NA
cranefly,NA,NA
Cratocentrus  sp,Chalcididae,NA
Cricket/Grasshopper,Orthoptera,NA
Cucumber Beetle,NA,NA
Culcidae.sp.,NA,NA
Culicidae_sp1_hipolitodataset,NA,NA
Culicidae_sp2_hiploitodataset,NA,NA
Culicidae_sp3_hipolitodataset,NA,NA
Culicidae_sp4_hipolitodataset,NA,NA
Curculionidae,Curculionidae,NA
Curculionidae sp 1,Curculionidae,NA
Curculionidae sp 2,Curculionidae,NA
Curculionoidea,NA,NA
Curcumelidae,Curcumelidae,NA
Curcumelidae,NA,NA
Curvinomia strigata (Nomia iridiscens),Apidae,NA
Cyclocephala atricapilla,Scarabaeidae,NA
Cyclocephala vestita,Scarabaeidae,NA
Cyclocephala_atricapilla,NA,NA
